pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
529,"['Approach', 'Gesture']","[12960, 7680]","[3, 5]",Adult,Male,2,77280,6.383893386830981
530,"['Approach', 'None']","[6720, 10640]","[3, 4]",Adult,Male,2,62720,5.079888228129255
532,"['Approach', 'None', 'Touch']","[4080, 1760, 28960]","[3, 4, 5]",Child,Male,3,164080,14.157770294475892
534,"['Approach', 'None']","[8480, 15040]","[3, 4]",Adult,Female,2,85600,7.129039191803396
536,"['Approach', 'None']","[7040, 10560]","[3, 4]",Adult,Male,2,63360,5.137207136204055
538,"['Approach', 'None']","[8000, 7840]","[3, 4]",Child,Male,2,55360,4.420720785269041
541,"['Approach', 'None']","[5920, 6720]","[3, 4]",Child,Male,2,44640,3.460629075016121
545,"['Approach', 'Touch', 'None']","[14880, 4160, 4800]","[3, 5, 4]",Adult,Male,3,84640,7.0430608296911945
547,"['Approach', 'Gesture', 'None']","[5600, 2720, 6560]","[3, 5, 4]",Adult,Male,3,56640,4.535358601418643
548,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5760, 1600, 1920, 4800, 3040, 2080]","[3, 4, 5, 4, 5, 4]",Adult,Male,6,76000,6.269255570681379
549,"['Approach', 'None']","[6400, 2240]","[3, 4]",Adult,Male,2,28160,1.9846671920899908
550,"['Approach', 'None', 'None']","[6960, 2160, 8240]","[3, 4, 4]",Adult,Male,3,62480,5.0583936376012035
551,"['Approach', 'Gesture', 'None']","[10000, 4800, 560]","[3, 5, 4]",Child,Male,3,56240,4.499534283871892
553,"['Approach', 'Gesture']","[2320, 9840]","[3, 5]",Child,Male,2,56160,4.492369420362542
554,"['Approach', 'Gesture', 'None', 'Gesture', 'None']","[1680, 3920, 3920, 2400, 1200]","[3, 5, 4, 5, 4]",Child,Male,5,57120,4.578347782474744
558,"['Approach', 'Touch', 'None']","[1520, 4000, 10320]","[3, 5, 4]",Child,Male,3,65840,5.35931790499391
559,"['Approach', 'Touch', 'None']","[4480, 7520, 25280]","[3, 5, 4]",Child,Male,3,152160,13.09020563158272
560,"['Approach', 'None']","[4720, 46160]","[3, 4]",Child,Male,2,198800,17.267321057533856
561,"['Approach', 'None']","[3760, 2480]","[3, 4]",Child,Male,2,21200,1.3613240667765278
562,"['Approach', 'Touch', 'None']","[6000, 6320, 10880]","[3, 5, 4]",Child,Male,3,93120,7.802536361682309
565,"['Approach', 'Gesture', 'None']","[15360, 3520, 17760]","[3, 5, 4]",Adult,Female,3,134720,11.528265386544387
566,"['Approach', 'Gesture', 'None']","[16160, 2960, 19760]","[3, 5, 4]",Child,Male,3,142320,12.20892741993265
567,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']","[17360, 2160, 2240, 1200, 1840, 13200]","[3, 4, 5, 4, 5, 4]",Child,Male,6,138720,11.886508562011894
579,"['Approach', 'None']","[6160, 3040]","[3, 4]",Adult,Female,2,30640,2.2067779608798452
582,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']","[4160, 10000, 9200, 640, 1920, 6880]","[3, 4, 5, 4, 5, 4]",Child,Male,6,138160,11.836354517446443
585,"['Approach', 'None']","[6800, 29200]","[3, 4]",Child,Male,2,137200,11.75037615533424
586,"['Approach', 'None']","[5680, 3680]","[3, 4]",Child,Male,2,31760,2.307086050010747
587,"['Approach', 'Touch', 'None', 'Gesture']","[6640, 9440, 4160, 2720]","[3, 5, 4, 5]",Child,Male,4,97360,8.182274127677868
588,"['Approach', 'Touch', 'None']","[2880, 3760, 4640]","[3, 5, 4]",Child,Male,3,46000,3.5824317546750737
590,"['Approach', 'None', 'Touch', 'None']","[8320, 9760, 6400, 35840]","[3, 4, 5, 4]",Child,Male,4,239360,20.89990685677438
601,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[15360, 4960, 12480, 4000, 4000, 5120, 3680, 2560, 5120, 2640, 3200, 3440, 5200]","[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Adult,Female,13,294400,25.829332951207277
602,"['Approach', 'None']","[6400, 70720]","[3, 4]",Adult,Female,2,302080,26.517159848104892
603,"['Approach', 'None']","[7360, 27200]","[3, 4]",Adult,Female,2,130880,11.18435193809558
604,"['Approach', 'None', 'Touch', 'None']","[10400, 28720, 14560, 91280]","[3, 4, 5, 4]",Adult,Female,4,584000,51.76613885505481
606,"['Approach', 'None']","[6320, 43680]","[3, 4]",Adult,Female,2,193680,16.808769792935443
607,"['Approach', 'None']","[8080, 6640]","[3, 4]",Adult,Female,2,50800,4.012323565236082
608,"['Approach', 'None']","[13040, 6240]","[3, 4]",Adult,Male,2,64080,5.2016909077882065
609,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[16320, 13600, 6240, 13760, 9360, 3360, 1920, 17520]","[3, 4, 5, 4, 5, 4, 5, 4]",Adult,Male,8,329520,28.974708031811996
610,"['Approach', 'None']","[8000, 18160]","[3, 4]",Adult,Male,2,96640,8.117790356093717
611,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[4640, 4080, 2080, 4400, 2880, 6800]","[3, 4, 5, 4, 5, 4]",Adult,Male,6,99840,8.404384896467722
612,"['Approach', 'None']","[22160, 28160]","[3, 4]",Child,Male,2,179120,15.504764634233718
613,"['Approach', 'None']","[5600, 8960]","[3, 4]",Child,Male,2,52640,4.177115425951135
614,"['Approach', 'None']","[17520, 64240]","[3, 4]",Child,Male,2,309520,27.183492154474457
615,"['Approach', 'None']","[2320, 8800]","[3, 4]",Child,Male,2,42160,3.2385183062262666
616,"['Approach', 'None']","[8080, 16640]","[3, 4]",Child,Male,2,90800,7.594755319911156
617,"['Approach', 'None']","[4240, 38160]","[3, 4]",Child,Male,2,165360,14.272408110625493
