pid,code,A/C,M/F,duration,engagement_score,norm_engagement_score,engagement_level
469,"['Approach', 'Gesture']",Child,Male,6160,3.8571428571428568,7.186294610279042,mid
470,"['Approach', 'None', 'Gesture', 'None', 'Gesture']",Child,Male,24280,4.482701812191103,8.759702441755293,high
471,"['Approach', 'None']",Child,Male,13280,3.5963855421686746,6.530436999762611,mid
472,['Pass'],Child,Female,7680,1.0,0.0,low
473,"['Approach', 'Gesture', 'None', 'Gesture', 'None']",Child,Female,20320,3.9488188976377954,7.416878472774217,mid
474,['Pass'],Child,Female,11520,1.0,0.0,low
475,"['Approach', 'None']",Child,Female,17440,3.6788990825688073,6.737975313490992,mid
476,"['Approach', 'None']",Adult,Female,30880,3.3834196891191706,5.994784623082516,mid
477,['Pass'],Adult,Female,7360,1.0,0.0,low
478,"['Approach', 'None']",Adult,Female,26080,3.401840490797546,6.041116680818931,mid
479,"['Approach', 'None']",Adult,Male,141280,3.928652321630804,7.366155438010828,mid
480,"['Approach', 'None']",Adult,Male,44480,3.857913669064749,7.188233358824982,mid
481,['Avoid'],Adult,Male,5760,2.0,2.515203113597665,low
482,['Pass'],Adult,Male,21120,1.0,0.0,low
483,['Pass'],Adult,Female,12480,1.0,0.0,low
484,['Pass'],Child,Male,10560,1.0,0.0,low
485,['Pass'],Adult,Female,15360,1.0,0.0,low
486,"['Approach', 'None']",Adult,Female,29440,3.6521739130434794,6.670756083889459,mid
487,"['Approach', 'None']",Child,Male,9600,3.1833333333333336,5.491526798021569,mid
488,['Pass'],Child,Male,12640,1.0,0.0,low
489,"['Approach', 'Gesture', 'None']",Child,Male,33840,4.026004728132388,7.611016513959836,mid
490,"['Approach', 'None']",Child,Male,9280,3.724137931034482,6.851760206007431,mid
491,"['Approach', 'None']",Child,Male,32080,3.685785536159601,6.755296143004203,mid
492,"['Approach', 'None']",Child,Male,43920,3.870673952641166,7.220328063806775,mid
493,"['Approach', 'None']",Child,Male,13280,3.626506024096385,6.606196129690252,mid
494,['Pass'],Adult,Male,19120,1.0,0.0,low
495,"['Approach', 'None']",Adult,Male,21440,3.742537313432836,6.898038389904043,mid
496,"['Approach', 'None']",Adult,Male,14400,3.85,7.168328873753343,mid
497,"['Approach', 'None']",Adult,Male,32080,3.85286783042394,7.175542049764908,mid
498,"['Approach', 'None']",Adult,Male,15120,3.8571428571428568,7.186294610279042,mid
499,"['Approach', 'None', 'None', 'Touch']",Adult,Male,22360,3.849731663685152,7.167653953418749,mid
500,"['Approach', 'None', 'Touch', 'None']",Adult,Male,25760,4.018633540372671,7.592476479555684,mid
501,"['Approach', 'None']",Adult,Male,22720,3.802816901408451,7.049653797266695,mid
502,['Pass'],Child,Female,15760,1.0,0.0,low
503,"['Approach', 'None']",Child,Female,160640,3.9661354581673303,7.4604331397349055,mid
504,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",Child,Female,26000,4.1692307692307695,7.971259098478754,mid
505,"['Approach', 'None']",Child,Female,28720,3.534818941504178,6.375584494077645,mid
506,"['Approach', 'None']",Adult,Female,31040,3.5489690721649487,6.411174946773429,mid
507,['Pass'],Adult,Female,13920,1.0,0.0,low
508,"['Approach', 'None']",Adult,Female,40960,3.67578125,6.730133331306252,mid
509,"['Approach', 'None']",Adult,Female,102800,3.9330739299610897,7.377276681050272,mid
510,"['Approach', 'None']",Adult,Female,26760,3.5186846038863977,6.335003357865569,mid
511,['Pass'],Adult,Male,15280,1.0,0.0,low
512,['Pass'],Child,Female,21280,1.0,0.0,low
513,['Pass'],Child,Male,11040,1.0,0.0,low
514,['Pass'],Adult,Male,30960,1.0,0.0,low
515,"['Approach', 'None']",Adult,Female,11760,3.258503401360544,5.680594787172957,mid
516,"['Approach', 'None']",Adult,Male,12000,3.513333333333333,6.3215438255087975,mid
517,"['Approach', 'None']",Child,Male,11280,3.2695035460992905,5.708262385469877,mid
518,"['Approach', 'None']",Child,Male,14880,3.618279569892473,6.585504926462702,mid
519,['Pass'],Adult,Female,11280,1.0,0.0,low
520,['Pass'],Adult,Male,12880,1.0,0.0,low
521,['Pass'],Child,Male,13760,1.0,0.0,low
522,['Pass'],Child,Female,12800,1.0,0.0,low
523,"['Pass', 'Gesture']",Child,Male,16720,3.354066985645933,5.920956611914119,mid
524,['Pass'],Adult,Male,22080,1.0,0.0,low
525,['Pass'],Child,Male,23040,1.0,0.0,low
526,"['Approach', 'None']",Adult,Female,20800,3.2884615384615383,5.755945586886964,mid
527,"['Approach', 'None']",Adult,Female,43040,3.799256505576208,7.040698678583798,mid
528,['Pass'],Adult,Female,11760,1.0,0.0,low
529,"['Approach', 'Gesture']",Adult,Male,20640,3.744186046511628,6.9021852884773125,mid
530,"['Approach', 'None']",Adult,Male,17360,3.612903225806452,6.571982329077769,mid
531,['Pass'],Adult,Male,14240,1.0,0.0,low
532,"['Approach', 'None', 'Touch']",Child,Male,34800,4.714942528735632,9.343835015112242,high
533,['Pass'],Child,Male,9520,1.0,0.0,low
534,"['Approach', 'None']",Adult,Female,23520,3.639455782312925,6.638767401876829,mid
535,['Follow'],Adult,Female,13920,2.0,2.515203113597665,low
536,"['Approach', 'None']",Adult,Male,17600,3.6,6.539528095353928,mid
537,['Follow'],Adult,Male,9600,2.0,2.515203113597665,low
538,"['Approach', 'None']",Child,Male,15840,3.494949494949495,6.2753047379658895,mid
539,['Avoid'],Child,Male,4240,2.0,2.515203113597665,low
540,['Follow'],Child,Male,9840,2.0,2.515203113597665,low
541,"['Approach', 'None']",Child,Male,12640,3.531645569620253,6.367602819234594,mid
542,['Avoid'],Child,Male,5840,2.0,2.515203113597665,low
543,['Follow'],Child,Male,12320,2.0,2.515203113597665,low
544,['Pass'],Child,Male,11120,1.0,0.0,low
545,"['Approach', 'Touch', 'None']",Adult,Male,23840,3.550335570469798,6.414611967564513,mid
546,['Avoid'],Adult,Male,3680,2.0,2.515203113597665,low
547,"['Approach', 'Gesture', 'None']",Adult,Male,14880,3.806451612903226,7.058795834935382,mid
548,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Male,19200,3.958333333333333,7.440809211059757,mid
549,"['Approach', 'None']",Adult,Male,8640,3.2592592592592595,5.682495923313243,mid
550,"['Approach', 'None', 'None']",Adult,Male,17360,3.5990783410138247,6.537209935802225,mid
551,"['Approach', 'Gesture', 'None']",Child,Male,15360,3.6614583333333335,6.694108286710452,mid
552,['Avoid'],Child,Male,1760,2.0,2.515203113597665,low
553,"['Approach', 'Gesture']",Child,Male,12160,4.61842105263158,9.10106389788629,high
554,"['Approach', 'Gesture', 'None', 'Gesture', 'None']",Child,Male,13120,4.353658536585366,8.435132393162899,high
555,['Avoid'],Child,Male,2160,2.0,2.515203113597665,low
556,['Avoid'],Child,Male,240,2.0,2.515203113597665,low
557,['Follow'],Child,Male,2720,2.0,2.515203113597665,low
558,"['Approach', 'Touch', 'None']",Child,Male,15840,4.156565656565657,7.939403767669396,mid
559,"['Approach', 'Touch', 'None']",Child,Male,37280,4.081545064377682,7.750711740614262,mid
560,"['Approach', 'None']",Child,Male,50880,3.907232704402516,7.312280750066166,mid
561,"['Approach', 'None']",Child,Male,6240,3.397435897435897,6.030038233881579,mid
562,"['Approach', 'Touch', 'None']",Child,Male,23200,4.013793103448276,7.580301797532273,mid
563,['Pass'],Adult,Male,11280,1.0,0.0,low
564,['Pass'],Adult,Male,21200,1.0,0.0,low
565,"['Approach', 'Gesture', 'None']",Adult,Female,36640,3.6768558951965065,6.732836282250517,mid
566,"['Approach', 'Gesture', 'None']",Child,Male,38880,3.6604938271604937,6.691682357781441,mid
567,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']",Child,Male,38000,3.650526315789474,6.666612042146232,mid
568,['Pass'],Adult,Male,22880,1.0,0.0,low
569,['Pass'],Adult,Female,19360,1.0,0.0,low
570,['Pass'],Child,Male,19520,1.0,0.0,low
571,['Pass'],Child,Male,21040,1.0,0.0,low
572,['Approach'],Adult,Female,14480,3.0,5.03040622719533,mid
573,['Pass'],Adult,Female,24320,1.0,0.0,low
574,['Pass'],Adult,Female,13520,1.0,0.0,low
575,['Pass'],Adult,Female,9120,1.0,0.0,low
576,['Pass'],Adult,Female,7680,1.0,0.0,low
577,['Pass'],Adult,Female,8160,1.0,0.0,low
578,['Pass'],Adult,Female,11760,1.0,0.0,low
579,"['Approach', 'None']",Adult,Female,9200,3.3304347826086955,5.861516821253688,mid
580,['Pass'],Adult,Female,13520,1.0,0.0,low
581,['Pass'],Adult,Male,18720,1.0,0.0,low
582,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']",Child,Male,32800,4.21219512195122,8.07932317221494,high
583,['Pass'],Adult,Male,23040,1.0,0.0,low
584,['Pass'],Child,Male,7360,1.0,0.0,low
585,"['Approach', 'None']",Child,Male,36000,3.811111111111111,7.070515419335656,mid
586,"['Approach', 'None']",Child,Male,9360,3.3931623931623927,6.019289502626889,mid
587,"['Approach', 'Touch', 'None', 'Gesture']",Child,Male,22960,4.240418118466899,8.150309740926232,high
588,"['Approach', 'Touch', 'None']",Child,Male,11280,4.078014184397163,7.74183086029352,mid
589,['Pass'],Child,Male,5200,1.0,0.0,low
590,"['Approach', 'None', 'Touch', 'None']",Child,Male,60320,3.9681697612732094,7.465549825240814,mid
591,['Pass'],Child,Female,15840,1.0,0.0,low
592,['Pass'],Adult,Male,17200,1.0,0.0,low
593,['Pass'],Child,Female,11360,1.0,0.0,low
594,['Pass'],Child,Female,18480,1.0,0.0,low
595,['Pass'],Adult,Female,10960,1.0,0.0,low
596,['Pass'],Adult,Female,8960,1.0,0.0,low
597,['Pass'],Adult,Male,9840,1.0,0.0,low
598,['Pass'],Child,Male,8960,1.0,0.0,low
599,['Pass'],Child,Female,11440,1.0,0.0,low
600,['Pass'],Child,Female,8480,1.0,0.0,low
601,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Female,71760,4.102564102564104,7.803578890905578,mid
602,"['Approach', 'None']",Adult,Female,77120,3.91701244813278,7.336878791946715,mid
603,"['Approach', 'None']",Adult,Female,34560,3.787037037037037,7.009964233267566,mid
604,"['Approach', 'None', 'Touch', 'None']",Adult,Female,144960,4.02869757174393,7.617789562596019,mid
605,['Approach'],Adult,Female,13120,3.0,5.03040622719533,mid
606,"['Approach', 'None']",Adult,Female,50000,3.8736,7.22768766723425,mid
607,"['Approach', 'None']",Adult,Female,14720,3.4510869565217392,6.164981544742102,mid
608,"['Approach', 'None']",Adult,Male,19280,3.3236514522821574,5.844455367695818,mid
609,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Male,82080,4.014619883040936,7.58238131613799,mid
610,"['Approach', 'None']",Adult,Male,26160,3.694189602446483,6.776434076695849,mid
611,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Male,24880,4.012861736334405,7.577959220067561,mid
612,"['Approach', 'None']",Child,Male,50320,3.559618441971383,6.437960274868426,mid
613,"['Approach', 'None']",Child,Male,14560,3.615384615384616,6.578223527870817,mid
614,"['Approach', 'None']",Child,Male,81760,3.7857142857142856,7.006637245022066,mid
615,"['Approach', 'None']",Child,Male,11120,3.79136690647482,7.020854734358949,mid
616,"['Approach', 'None']",Child,Male,24720,3.673139158576052,6.723487934730327,mid
617,"['Approach', 'None']",Child,Male,42400,3.9,7.294089029433229,mid
618,"['Approach', 'None']",Child,Male,11120,3.5323741007194247,6.369435222923583,mid
619,"['Approach', 'Touch']",Child,Male,29280,4.759562841530054,9.456064164782475,high
620,"['Approach', 'None']",Child,Female,20560,3.132295719844358,5.363156833663503,mid
621,"['Approach', 'None']",Child,Female,37760,3.9110169491525424,7.321798894244049,mid
622,"['Approach', 'None']",Child,Female,100800,3.9015873015873015,7.298081415327827,mid
623,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']",Child,Female,58400,4.501369863013699,8.806656381309084,high
624,"['Approach', 'None']",Child,Female,33640,3.897740784780024,7.288406644277655,mid
625,"['Approach', 'None']",Child,Female,29120,3.354395604395605,5.921783154816481,mid
626,"['Approach', 'None']",Child,Female,7760,3.268041237113402,5.704584381355527,mid
627,"['Approach', 'None']",Child,Female,47440,3.858347386172007,7.1893242454435775,mid
628,"['Approach', 'None']",Child,Female,8960,3.4107142857142856,6.063436077422941,mid
629,"['Approach', 'None']",Adult,Male,41440,3.314671814671814,5.821869755219304,mid
630,"['Approach', 'Touch', 'None']",Adult,Male,44560,4.143626570915619,7.906859339155314,mid
631,"['Approach', 'None']",Adult,Male,19120,3.652719665271967,6.672128761593806,mid
632,"['Approach', 'None']",Adult,Male,71200,3.802247191011236,7.04822085990177,mid
633,"['Approach', 'None']",Adult,Male,27360,3.789473684210527,7.016092895825066,mid
634,"['Approach', 'None']",Child,Female,15840,3.2727272727272725,5.7163707127219645,mid
635,"['Approach', 'None']",Child,Female,24720,3.737864077669903,6.886284252762539,mid
636,"['Approach', 'None']",Child,Female,43120,3.9443413729128016,7.405616588644701,mid
637,"['Approach', 'None']",Child,Female,23520,3.5680272108843534,6.459110036619852,mid
638,"['Approach', 'None']",Child,Female,93040,3.799656061908856,7.041703643915732,mid
639,"['Approach', 'None']",Child,Female,6080,3.6447368421052633,6.652050339909613,mid
640,"['Approach', 'None']",Child,Female,30240,3.780423280423281,6.993329292040068,mid
641,['Pass'],Child,Female,7440,1.0,0.0,low
642,"['Approach', 'None']",Child,Female,87840,3.821493624772313,7.096629550023284,mid
643,"['Approach', 'None']",Child,Female,13760,3.6569767441860463,6.682836179733329,mid
