,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_level,encoded_code,duration_sum
552,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[9600, 20240, 2240, 15120]","[0.2033898305084746, 0.4288135593220339, 0.04745762711864407, 0.32033898305084746]",Child,Male,"파란색 상의, 회색 바지, 검은색 운동화",low,8424000000000000000000,47200
553,"['Approach', 'Gesture']",2,"[3, 5]","[3520, 3920]","[0.4731182795698925, 0.5268817204301075]",Child,Male,"주황색 패딩, 빨간색 땡땡의 상의, 바지",high,8100000000000000000000,7440
554,"['Approach', 'None']",2,"[3, 4]","[6480, 26560]","[0.19612590799031476, 0.8038740920096852]",Child,Male,"주황색 패딩, 빨간색 땡땡의 상의, 바지",low,8400000000000000000000,33040
555,"['Approach', 'None']",2,"[3, 4]","[10400, 7360]","[0.5855855855855856, 0.4144144144144144]",Adult,Female,"크로스백, 회색 자켓, 청바지",low,8400000000000000000000,17760
556,"['Approach', 'None']",2,"[3, 4]","[12640, 3040]","[0.8061224489795918, 0.19387755102040816]",Child,Female,"분홍색 롱패딩, 흰색 하의, 분홍색 신발",low,8400000000000000000000,15680
557,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'Touch', 'Gesture', 'None']",11,"[3, 5, 4, 5, 4, 5, 4, 5, 5, 5, 4]","[4240, 3440, 1120, 2320, 5440, 2560, 20640, 17840, 6240, 12960, 9600]","[0.049074074074074076, 0.03981481481481482, 0.012962962962962963, 0.026851851851851852, 0.06296296296296296, 0.02962962962962963, 0.2388888888888889, 0.2064814814814815, 0.07222222222222222, 0.15, 0.1111111111111111]",Adult,Female,"크로스백, 베이지색 후드, 청바지",high,8242424121400000000000,86400
558,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'None']",8,"[3, 5, 4, 5, 4, 5, 4, 4]","[10080, 10880, 15520, 6480, 640, 5920, 5200, 10000]","[0.1557478368355995, 0.1681087762669963, 0.23980222496909764, 0.10012360939431397, 0.009888751545117428, 0.09147095179233622, 0.08034610630407911, 0.15451174289245984]",Adult,Female,"크로스백, 베이지색 후드, 청바지",high,8242424400000000000000,64720
559,"['Approach', 'None']",2,"[3, 4]","[6800, 13600]","[0.3333333333333333, 0.6666666666666666]",Adult,Male,"검은색 상의, 검은색 바지, 회색 운동화",low,8400000000000000000000,20400
560,"['Approach', 'None']",2,"[3, 4]","[6400, 11280]","[0.36199095022624433, 0.6380090497737556]",Adult,Female,"체크무늬 상의, 갈색 바지",low,8400000000000000000000,17680
561,"['Approach', 'None']",2,"[3, 4]","[7440, 10800]","[0.40789473684210525, 0.5921052631578947]",Child,Female,"갈색 상의, 파란색 바지",low,8400000000000000000000,18240
562,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[4080, 2800, 2880, 4160, 2080, 880, 3360, 2240]","[0.18149466192170818, 0.12455516014234876, 0.12811387900355872, 0.18505338078291814, 0.09252669039145907, 0.03914590747330961, 0.1494661921708185, 0.099644128113879]",Child,Male,"파란색 패딩, 검은색 바지",high,8414141400000000000000,22480
563,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[1120, 2560, 3360]","[0.1590909090909091, 0.36363636363636365, 0.4772727272727273]",Child,Male,"파란색 패딩, 검은색 바지",high,8140000000000000000000,7040
564,"['Approach', 'Gesture']",2,"[3, 5]","[1840, 2480]","[0.42592592592592593, 0.5740740740740741]",Child,Male,"파란색 패딩, 검은색 바지",high,8100000000000000000000,4320
565,"['Approach', 'None']",2,"[3, 4]","[4720, 1040]","[0.8194444444444444, 0.18055555555555555]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",low,8400000000000000000000,5760
566,"['Approach', 'None']",2,"[3, 4]","[2960, 12240]","[0.19473684210526315, 0.8052631578947368]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",low,8400000000000000000000,15200
567,"['Approach', 'Gesture']",2,"[3, 5]","[3280, 2320]","[0.5857142857142857, 0.4142857142857143]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",low,8100000000000000000000,5600
568,"['Approach', 'None']",2,"[3, 4]","[4080, 14000]","[0.22566371681415928, 0.7743362831858407]",Child,Female,"갈색 상의, 파란색 바지",low,8400000000000000000000,18080
569,"['Approach', 'None']",2,"[3, 4]","[5200, 52000]","[0.09090909090909091, 0.9090909090909091]",Child,Female,"갈색 상의, 파란색 바지",low,8400000000000000000000,57200
570,"['Approach', 'None']",2,"[3, 4]","[2720, 7920]","[0.2556390977443609, 0.7443609022556391]",Child,Female,"갈색 상의, 파란색 바지",low,8400000000000000000000,10640
571,"['Approach', 'None']",2,"[3, 4]","[5360, 16720]","[0.2427536231884058, 0.7572463768115942]",Child,Female,"갈색 상의, 파란색 바지",low,8400000000000000000000,22080
572,"['Approach', 'None']",2,"[3, 4]","[2400, 6400]","[0.2727272727272727, 0.7272727272727273]",Child,Female,"갈색 상의, 파란색 바지",low,8400000000000000000000,8800
573,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[15920, 12640, 4960, 10560, 7680, 15280, 4320, 11120]","[0.1930164888457808, 0.15324927255092144, 0.06013579049466537, 0.1280310378273521, 0.09311348205625607, 0.18525703200775945, 0.052376333656644035, 0.13482056256062075]",Adult,Female,"검은색 상의, 회색 상의, 검은색 바지",high,8424242400000000000000,82480
574,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[2480, 1680, 9040, 3680, 3200, 3040, 10800]","[0.07311320754716981, 0.049528301886792456, 0.2665094339622642, 0.10849056603773585, 0.09433962264150944, 0.08962264150943396, 0.31839622641509435]",Adult,Female,"검은색 상의, 회색 상의, 검은색 바지",high,8242424000000000000000,33920
575,"['Approach', 'None']",2,"[3, 4]","[8000, 1600]","[0.8333333333333334, 0.16666666666666666]",Adult,Female,"검은색 상의, 회색 상의, 검은색 바지",low,8400000000000000000000,9600
576,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[11520, 3920, 80960]","[0.11950207468879669, 0.04066390041493776, 0.8398340248962656]",Child,Male,"파란색 패딩, 검은색 바지",low,8240000000000000000000,96400
577,"['Approach', 'Touch', 'None', 'Gesture', 'None']",5,"[3, 5, 4, 5, 4]","[2080, 1760, 7920, 2160, 21440]","[0.058823529411764705, 0.049773755656108594, 0.2239819004524887, 0.06108597285067873, 0.6063348416289592]",Child,Male,"파란색 패딩, 검은색 바지",high,8241400000000000000000,35360
578,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1760, 1120, 18640]","[0.08178438661710037, 0.05204460966542751, 0.8661710037174721]",Child,Male,"파란색 패딩, 검은색 바지",low,8240000000000000000000,21520
579,"['Approach', 'None']",2,"[3, 4]","[4560, 1840]","[0.7125, 0.2875]",Child,Male,"파란색 패딩, 검은색 바지",low,8400000000000000000000,6400
580,"['Approach', 'Touch', 'None', 'Gesture', 'None', 'Gesture', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[13280, 2960, 960, 3200, 1040, 1680, 4240]","[0.4853801169590643, 0.10818713450292397, 0.03508771929824561, 0.11695906432748537, 0.038011695906432746, 0.06140350877192982, 0.15497076023391812]",Adult,Female,"체크무늬 상의, 갈색 치마",low,8241414000000000000000,27360
581,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[1520, 4800, 7360, 2080, 2320, 2400, 12240]","[0.04645476772616137, 0.1466992665036675, 0.22493887530562348, 0.06356968215158924, 0.07090464547677261, 0.07334963325183375, 0.3740831295843521]",Adult,Female,"체크무늬 상의, 갈색 치마",high,8242414000000000000000,32720
582,"['Approach', 'None']",2,"[3, 4]","[2960, 2720]","[0.5211267605633803, 0.4788732394366197]",Adult,Female,"체크무늬 상의, 갈색 치마",low,8400000000000000000000,5680
583,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Touch', 'None']",11,"[3, 4, 5, 4, 5, 4, 5, 5, 4, 5, 4]","[3120, 3360, 1680, 5440, 6400, 20880, 3200, 3040, 6320, 3680, 400]","[0.054242002781641166, 0.0584144645340751, 0.02920723226703755, 0.09457579972183588, 0.11126564673157163, 0.36300417246175243, 0.055632823365785816, 0.05285118219749652, 0.10987482614742698, 0.06397774687065369, 0.006954102920723227]",Adult,Female,"체크무늬 상의, 갈색 치마",high,8424242142400000000000,57520
584,"['Approach', 'None']",2,"[3, 4]","[2240, 7840]","[0.2222222222222222, 0.7777777777777778]",Adult,Female,"체크무늬 상의, 갈색 치마",low,8400000000000000000000,10080
585,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']",11,"[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[6320, 14400, 19680, 7840, 1520, 6240, 1520, 1680, 8880, 3520, 5840]","[0.08161157024793389, 0.1859504132231405, 0.25413223140495866, 0.1012396694214876, 0.01962809917355372, 0.08057851239669421, 0.01962809917355372, 0.02169421487603306, 0.11466942148760331, 0.045454545454545456, 0.07541322314049587]",Adult,Female,"체크무늬 상의, 갈색 치마",high,8242424142400000000000,77440
586,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[2640, 8160, 720, 2240, 2000, 3600, 12720]","[0.08229426433915212, 0.2543640897755611, 0.022443890274314215, 0.06982543640897755, 0.06234413965087282, 0.11221945137157108, 0.39650872817955113]",Adult,Female,"체크무늬 상의, 갈색 치마",high,8242424000000000000000,32080
587,"['Approach', 'None']",2,"[3, 4]","[5680, 71040]","[0.0740354535974974, 0.9259645464025026]",Adult,Male,"검은색 상의, 갈색 바지",low,8400000000000000000000,76720
588,"['Approach', 'None']",2,"[3, 4]","[6240, 8640]","[0.41935483870967744, 0.5806451612903226]",Child,Male,"갈색 점퍼, 검은색 바지",low,8400000000000000000000,14880
589,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[12880, 26960, 2240, 23120]","[0.19754601226993865, 0.4134969325153374, 0.0343558282208589, 0.35460122699386504]",Child,Male,"갈색 점퍼, 검은색 바지",low,8424000000000000000000,65200
590,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[3200, 5120, 2000, 14880]","[0.12698412698412698, 0.20317460317460317, 0.07936507936507936, 0.5904761904761905]",Child,Male,"갈색 점퍼, 검은색 바지",low,8424000000000000000000,25200
591,"['Approach', 'None']",2,"[3, 4]","[5600, 18160]","[0.2356902356902357, 0.7643097643097643]",Child,Male,"갈색 점퍼, 검은색 바지",low,8400000000000000000000,23760
592,"['Approach', 'None']",2,"[3, 4]","[9040, 1920]","[0.8248175182481752, 0.17518248175182483]",Child,Male,"갈색 점퍼, 검은색 바지",low,8400000000000000000000,10960
593,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture']",7,"[3, 4, 5, 4, 5, 4, 5]","[2240, 3160, 1840, 20320, 2800, 29040, 3760]","[0.03546548448385054, 0.050031665611146296, 0.029132362254591513, 0.3217226092463585, 0.044331855604813175, 0.4597846738442052, 0.059531348955034834]",Child,Male,"갈색 점퍼, 검은색 바지",high,8424241000000000000000,63160
594,"['Approach', 'None']",2,"[3, 4]","[4320, 32080]","[0.11868131868131868, 0.8813186813186813]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",low,8400000000000000000000,36400
595,"['Approach', 'None']",2,"[3, 4]","[3200, 3680]","[0.46511627906976744, 0.5348837209302325]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",low,8400000000000000000000,6880
596,"['Approach', 'None']",2,"[3, 4]","[3840, 12480]","[0.23529411764705882, 0.7647058823529411]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",low,8400000000000000000000,16320
597,"['Approach', 'Gesture', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[2240, 1920, 21120, 2320, 7200]","[0.06436781609195402, 0.05517241379310345, 0.6068965517241379, 0.06666666666666667, 0.20689655172413793]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",high,8142400000000000000000,34800
598,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1840, 2400, 10800]","[0.12234042553191489, 0.1595744680851064, 0.7180851063829787]",Adult,Male,"검은색 후드집업, 검은색 바지, 검은색 운동화",high,8240000000000000000000,15040
599,"['Approach', 'None']",2,"[3, 4]","[9920, 1280]","[0.8857142857142857, 0.11428571428571428]",Child,Male,"검은색 점퍼, 흰색 상의, 검은색 바지",low,8400000000000000000000,11200
600,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[9600, 31600, 3680, 42240, 2560, 8400, 6560, 21280]","[0.07623888182973317, 0.25095298602287164, 0.029224904701397714, 0.3354510800508259, 0.020330368487928845, 0.06670902160101652, 0.052096569250317665, 0.16899618805590852]",Child,Male,"검은색 점퍼, 흰색 상의, 검은색 바지",high,8424242400000000000000,125920
601,"['Approach', 'None']",2,"[3, 4]","[5600, 44960]","[0.11075949367088607, 0.8892405063291139]",Child,Male,"검은색 점퍼, 파란색 상의, 갈색 바지",low,8400000000000000000000,50560
602,"['Approach', 'None']",2,"[3, 4]","[6800, 62720]","[0.09781357882623705, 0.9021864211737629]",Child,Male,"검은색 점퍼, 파란색 상의, 갈색 바지",low,8400000000000000000000,69520
603,"['Approach', 'None']",2,"[3, 4]","[11360, 12480]","[0.47651006711409394, 0.5234899328859061]",Adult,Female,"흰색 가방, 흰색 점퍼, 청바지",low,8400000000000000000000,23840
604,"['Approach', 'None']",2,"[3, 4]","[5120, 2960]","[0.6336633663366337, 0.36633663366336633]",Adult,Female,"흰색 가방, 흰색 점퍼, 청바지",low,8400000000000000000000,8080
605,"['Approach', 'None']",2,"[3, 4]","[3360, 21040]","[0.1377049180327869, 0.8622950819672132]",Adult,Female,"흰색 가방, 흰색 점퍼, 청바지",low,8400000000000000000000,24400
606,"['Approach', 'None']",2,"[3, 4]","[4160, 65760]","[0.059496567505720827, 0.9405034324942791]",Adult,Female,"흰색 가방, 흰색 점퍼, 청바지",low,8400000000000000000000,69920
607,"['Approach', 'None']",2,"[3, 4]","[5840, 120320]","[0.046290424857324035, 0.953709575142676]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",low,8400000000000000000000,126160
608,"['Approach', 'None']",2,"[3, 4]","[10160, 23000]","[0.30639324487334135, 0.6936067551266586]",Adult,Male,"검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지",low,8400000000000000000000,33160
609,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",9,"[3, 5, 4, 5, 4, 5, 4, 5, 4]","[6760, 1920, 16800, 3840, 9280, 2400, 36800, 1760, 10640]","[0.07494456762749446, 0.021286031042128603, 0.18625277161862527, 0.042572062084257206, 0.10288248337028826, 0.026607538802660754, 0.4079822616407982, 0.01951219512195122, 0.11796008869179601]",Adult,Male,"검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지",high,8242424240000000000000,90200
610,"['Approach', 'None', 'Gesture', 'None']",4,"[3, 4, 5, 4]","[2880, 33920, 3920, 6880]","[0.06050420168067227, 0.7126050420168067, 0.08235294117647059, 0.14453781512605043]",Child,Male,"검은색 점퍼, 흰색 줄무늬 검은색 바지",high,8414000000000000000000,47600
611,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1840, 2160, 75440]","[0.023162134944612285, 0.027190332326283987, 0.9496475327291037]",Child,Male,"검은색 점퍼, 흰색 줄무늬 검은색 바지",high,8240000000000000000000,79440
612,"['Approach', 'None']",2,"[3, 4]","[4400, 7840]","[0.35947712418300654, 0.6405228758169934]",Adult,Female,"체크무늬 상의, 갈색 치마",low,8400000000000000000000,12240
613,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[12640, 28960, 2880, 2000, 8080, 11200]","[0.1922141119221411, 0.44038929440389296, 0.043795620437956206, 0.030413625304136254, 0.12287104622871046, 0.170316301703163]",Adult,Female,"체크무늬 상의, 갈색 치마",low,8424240000000000000000,65760
614,"['Approach', 'None']",2,"[3, 4]","[4080, 32160]","[0.11258278145695365, 0.8874172185430463]",Adult,Female,"체크무늬 상의, 갈색 치마",low,8400000000000000000000,36240
615,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[2560, 7040, 5600, 7920, 2080, 17760, 3680, 14560]","[0.04183006535947712, 0.11503267973856209, 0.0915032679738562, 0.12941176470588237, 0.03398692810457516, 0.2901960784313726, 0.06013071895424837, 0.23790849673202613]",Adult,Female,"체크무늬 상의, 갈색 치마",high,8424241400000000000000,61200
616,"['Approach', 'None']",2,"[3, 4]","[3840, 4960]","[0.43636363636363634, 0.5636363636363636]",Adult,Male,"검은색 상의, 갈색 바지",low,8400000000000000000000,8800
617,"['Approach', 'None']",2,"[3, 4]","[14080, 152240]","[0.08465608465608465, 0.9153439153439153]",Adult,Male,"검은색 상의, 갈색 바지",low,8400000000000000000000,166320
618,"['Approach', 'None']",2,"[3, 4]","[6720, 10800]","[0.3835616438356164, 0.6164383561643836]",Child,Male,"갈색 점퍼, 검은색 바지",low,8400000000000000000000,17520
619,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[12080, 2240, 2800, 30720, 4160, 8400]","[0.2, 0.03708609271523179, 0.046357615894039736, 0.5086092715231788, 0.06887417218543046, 0.1390728476821192]",Child,Male,"갈색 점퍼, 검은색 바지",low,8424240000000000000000,60400
620,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[3440, 15200, 3760, 50160, 4640, 18880]","[0.035803497085761866, 0.1582014987510408, 0.03913405495420483, 0.5220649458784347, 0.04829308909242298, 0.1965029142381349]",Child,Male,"갈색 점퍼, 검은색 바지",high,8424240000000000000000,96080
621,"['Approach', 'Gesture']",2,"[3, 5]","[2560, 3440]","[0.4266666666666667, 0.5733333333333334]",Child,Male,"갈색 점퍼, 검은색 바지",high,8100000000000000000000,6000
624,"['Approach', 'None']",2,"[3, 4]","[3360, 10400]","[0.2441860465116279, 0.7558139534883721]",Child,Male,"검은색 점퍼, 흰색 상의, 검은색 바지",low,8400000000000000000000,13760
625,"['Approach', 'None']",2,"[3, 4]","[9920, 1680]","[0.8551724137931035, 0.14482758620689656]",Child,Male,"검은색 점퍼, 흰색 상의, 검은색 바지",low,8400000000000000000000,11600
626,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[2880, 72320, 2720, 4080, 2880, 31520]","[0.024742268041237112, 0.6213058419243986, 0.02336769759450172, 0.03505154639175258, 0.024742268041237112, 0.27079037800687283]",Child,Male,"검은색 점퍼, 흰색 상의, 검은색 바지",high,8424240000000000000000,116400
627,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",9,"[3, 5, 4, 5, 4, 5, 4, 5, 4]","[3520, 1520, 2080, 2320, 9040, 3680, 49440, 1840, 15120]","[0.03974706413730804, 0.017163504968383016, 0.023486901535682024, 0.026196928635953028, 0.1020776874435411, 0.04155374887082204, 0.5582655826558266, 0.02077687443541102, 0.17073170731707318]",Child,Male,"검은색 점퍼, 파란색 상의, 갈색 바지",high,8242424240000000000000,88560
629,"['Approach', 'None']",2,"[3, 4]","[3120, 6640]","[0.319672131147541, 0.680327868852459]",Adult,Female,"흰색 가방, 흰색 점퍼, 청바지",low,8400000000000000000000,9760
631,"['Approach', 'None', 'None', 'None']",4,"[3, 4, 4, 4]","[3360, 21600, 23760, 16240]","[0.05172413793103448, 0.33251231527093594, 0.3657635467980296, 0.25]",Adult,Female,"흰색 가방, 흰색 점퍼, 청바지",low,8444000000000000000000,64960
632,"['Approach', 'None']",2,"[3, 4]","[4800, 17680]","[0.21352313167259787, 0.7864768683274022]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",low,8400000000000000000000,22480
633,"['Approach', 'None']",2,"[3, 4]","[10160, 6640]","[0.6047619047619047, 0.3952380952380952]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",low,8400000000000000000000,16800
634,"['Approach', 'None']",2,"[3, 4]","[7840, 10880]","[0.4188034188034188, 0.5811965811965812]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",low,8400000000000000000000,18720
635,"['Approach', 'None']",2,"[3, 4]","[6720, 44400]","[0.13145539906103287, 0.8685446009389671]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",low,8400000000000000000000,51120
636,"['Approach', 'None']",2,"[3, 4]","[4640, 9760]","[0.32222222222222224, 0.6777777777777778]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",low,8400000000000000000000,14400
637,"['Approach', 'Touch', 'None', 'None']",4,"[3, 5, 4, 4]","[2480, 1760, 48800, 8400]","[0.040364583333333336, 0.028645833333333332, 0.7942708333333334, 0.13671875]",Adult,Female,"갈색 모자, 검은색 롱패딩, 베이지색 바지",high,8244000000000000000000,61440
638,"['Approach', 'None']",2,"[3, 4]","[8000, 2720]","[0.746268656716418, 0.2537313432835821]",Adult,Male,"검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지",low,8400000000000000000000,10720
639,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'None', 'None']",8,"[3, 4, 5, 4, 5, 4, 4, 4]","[6400, 9360, 2160, 6720, 4320, 28400, 8880, 11040]","[0.08281573498964803, 0.12111801242236025, 0.027950310559006212, 0.08695652173913043, 0.055900621118012424, 0.36749482401656314, 0.11490683229813664, 0.14285714285714285]",Adult,Male,"검은색 점퍼, 검은색 상의 위 흰색 무늬, 검은색 바지",high,8424244400000000000000,77280
640,"['Approach', 'None']",2,"[3, 4]","[3760, 17360]","[0.17803030303030304, 0.821969696969697]",Child,Male,"검은색 점퍼, 흰색 줄무늬 검은색 바지",low,8400000000000000000000,21120
641,"['Approach', 'None']",2,"[3, 4]","[5520, 13840]","[0.28512396694214875, 0.7148760330578512]",Child,Male,"검은색 점퍼, 흰색 줄무늬 검은색 바지",low,8400000000000000000000,19360
642,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[3200, 5680, 560, 2720, 27680]","[0.08032128514056225, 0.142570281124498, 0.014056224899598393, 0.06827309236947791, 0.6947791164658634]",Child,Male,"검은색 점퍼, 흰색 줄무늬 검은색 바지",high,8242400000000000000000,39840
643,"['Approach', 'None', 'Gesture', 'None']",4,"[3, 4, 5, 4]","[4640, 3600, 1920, 9440]","[0.23673469387755103, 0.1836734693877551, 0.09795918367346938, 0.4816326530612245]",Child,Male,"검은색 점퍼, 흰색 줄무늬 검은색 바지",low,8414000000000000000000,19600
644,"['Approach', 'None']",2,"[3, 4]","[4800, 4080]","[0.5405405405405406, 0.4594594594594595]",Adult,Male,"흰색 상의, 검은색 바지",low,8400000000000000000000,8880
645,"['Approach', 'Gesture']",2,"[3, 5]","[1920, 3840]","[0.3333333333333333, 0.6666666666666666]",Adult,Male,"흰색 상의, 검은색 바지",high,8100000000000000000000,5760
646,"['Approach', 'Gesture']",2,"[3, 5]","[3760, 3920]","[0.4895833333333333, 0.5104166666666666]",Adult,Male,"흰색 상의, 검은색 바지",high,8100000000000000000000,7680
647,"['Approach', 'None']",2,"[3, 4]","[8160, 6880]","[0.5425531914893617, 0.4574468085106383]",Child,Male,"흰색 후리스, 파란색 상의, 검은색 바지",low,8400000000000000000000,15040
648,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']",16,"[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5]","[4880, 2240, 1040, 24000, 480, 2160, 1760, 3840, 2240, 6640, 17440, 19600, 30720, 3040, 39920, 7760]","[0.029089175011921792, 0.01335240820219361, 0.00619933237958989, 0.1430615164520744, 0.002861230329041488, 0.012875536480686695, 0.010491177873152123, 0.022889842632331903, 0.01335240820219361, 0.039580352885073916, 0.10395803528850739, 0.11683357176919408, 0.18311874105865522, 0.018121125417262757, 0.2379589890319504, 0.04625655698617072]",Child,Male,"파란색 상의, 흰색 조끼, 검은색 바지",high,8242424242424242000000,167760
649,"['Approach', 'None']",2,"[3, 4]","[5040, 31440]","[0.13815789473684212, 0.8618421052631579]",Child,Male,"파란색 상의, 흰색 조끼, 검은색 바지",low,8400000000000000000000,36480
650,"['Approach', 'None']",2,"[3, 4]","[4960, 2160]","[0.6966292134831461, 0.30337078651685395]",Child,Male,"파란색 상의, 흰색 조끼, 검은색 바지",low,8400000000000000000000,7120
651,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",22,"[3, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[2160, 22720, 3120, 720, 34080, 13680, 3840, 34160, 1760, 480, 9680, 38000, 11920, 8960, 6480, 1840, 23280, 1680, 7280, 15360, 2480, 11520]","[0.008463949843260187, 0.0890282131661442, 0.012225705329153605, 0.0028213166144200625, 0.1335423197492163, 0.05360501567398119, 0.015047021943573668, 0.13385579937304076, 0.006896551724137931, 0.0018808777429467085, 0.03793103448275862, 0.14890282131661442, 0.04670846394984326, 0.03510971786833856, 0.025391849529780564, 0.007210031347962382, 0.09122257053291537, 0.0065830721003134795, 0.028526645768025077, 0.06018808777429467, 0.009717868338557993, 0.045141065830721]",Child,Male,"파란색 상의, 흰색 조끼, 검은색 바지",high,8424242424242424242424,255200
652,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1680, 2480, 2320]","[0.25925925925925924, 0.38271604938271603, 0.35802469135802467]",Child,Male,"파란색 상의, 흰색 조끼, 검은색 바지",high,8240000000000000000000,6480
654,"['Approach', 'Gesture', 'Gesture', 'None', 'None']",5,"[3, 5, 5, 4, 4]","[8320, 2880, 3440, 0, 3360]","[0.4622222222222222, 0.16, 0.19111111111111112, 0.0, 0.18666666666666668]",Child,Male,"파란색 상의, 흰색 조끼, 검은색 바지",low,8114400000000000000000,18000
655,"['Approach', 'None']",2,"[3, 4]","[10560, 8720]","[0.5477178423236515, 0.45228215767634855]",Adult,Female,"파란색 가방, 흰색 상의, 검은색 바지",low,8400000000000000000000,19280
656,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",10,"[3, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[3200, 5200, 4720, 12960, 17600, 5280, 2880, 44880, 3840, 16080]","[0.027434842249657063, 0.04458161865569273, 0.04046639231824417, 0.1111111111111111, 0.15089163237311384, 0.04526748971193416, 0.024691358024691357, 0.38477366255144035, 0.03292181069958848, 0.13786008230452676]",Adult,Female,"파란색 가방, 흰색 상의, 검은색 바지",high,8414242424000000000000,116640
