,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_level,encoded_code,duration_sum
460,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[1920, 1600, 4160, 1680, 8560]","[0.10714285714285714, 0.08928571428571429, 0.23214285714285715, 0.09375, 0.47767857142857145]",Child,Male,"검은색 점퍼, 회색 바지, 빨간색 운동화",high,8242400000000000000000,17920
461,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[1280, 4640, 2080, 17520]","[0.050156739811912224, 0.18181818181818182, 0.08150470219435736, 0.6865203761755486]",Child,Male,"검은색 점퍼, 회색 바지, 빨간색 운동화",high,8424000000000000000000,25520
463,"['Approach', 'None']",2,"[3, 4]","[5120, 5280]","[0.49230769230769234, 0.5076923076923077]",Child,Male,"하늘색/흰색 점퍼, 검은색 바지",low,8400000000000000000000,10400
465,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[8080, 5680, 960]","[0.5489130434782609, 0.3858695652173913, 0.06521739130434782]",Child,Male,"회색 상의, 회색 바지",low,8140000000000000000000,14720
466,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[1760, 14640, 7680]","[0.07308970099667775, 0.6079734219269103, 0.31893687707641194]",Child,Male,"회색 상의, 회색 바지",high,8140000000000000000000,24080
467,"['Approach', 'None', 'None']",3,"[3, 4, 4]","[1920, 5440, 33840]","[0.04660194174757282, 0.13203883495145632, 0.8213592233009709]",Child,Male,"회색 상의, 회색 바지",low,8440000000000000000000,41200
468,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']",13,"[3, 5, 4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4]","[2240, 1920, 23440, 1200, 1760, 1440, 11760, 2320, 21840, 1440, 800, 3520, 2240]","[0.029504741833508957, 0.02528977871443625, 0.3087460484720759, 0.015806111696522657, 0.023182297154899896, 0.018967334035827187, 0.15489989462592202, 0.030558482613277135, 0.2876712328767123, 0.018967334035827187, 0.01053740779768177, 0.04636459430979979, 0.029504741833508957]",Child,Male,"회색 상의, 회색 바지",high,8241241241424000000000,75920
469,"['Approach', 'None', 'Gesture', 'Touch']",4,"[3, 4, 5, 5]","[3200, 480, 1520, 1520]","[0.47619047619047616, 0.07142857142857142, 0.2261904761904762, 0.2261904761904762]",Child,Male,"회색 상의, 회색 바지",low,8412000000000000000000,6720
470,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",13,"[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[6800, 7120, 21920, 2400, 6720, 4720, 18360, 1680, 18280, 3120, 29040, 2400, 28720]","[0.0449497620306716, 0.04706504494976203, 0.14489687995769435, 0.015864621893178214, 0.044420941300899, 0.03120042305658382, 0.12136435748281332, 0.01110523532522475, 0.12083553675304072, 0.020624008461131677, 0.19196192490745637, 0.015864621893178214, 0.18984664198836596]",Child,Male,"민트색 상의, 검정색 조끼, 민트색 바지",high,8242424242424000000000,151280
471,"['Approach', 'None']",2,"[3, 4]","[4640, 4240]","[0.5225225225225225, 0.4774774774774775]",Child,Male,"민트색 상의, 검정색 조끼, 민트색 바지",low,8400000000000000000000,8880
