pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
972,"['Pass', 'None']","[16160, 8320]","[1, 4]",Adult,Male,2,49440,4.265096574998204
974,"['Avoid', 'None']","[4480, 5280]","[2, 4]",Child,Male,2,30080,2.5274646370359735
975,"['Approach', 'None']","[3360, 10400]","[0, 4]",Child,Male,2,41600,3.5614274430961443
978,"['Approach', 'None']","[9920, 1680]","[0, 4]",Child,Male,2,6720,0.43081783585840455
980,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[2880, 72320, 2720, 4080, 2880, 31520]","[0, 4, 5, 4, 5, 4]",Child,Male,6,459680,41.08566094636318
982,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[3520, 1520, 2080, 2320, 9040, 3680, 49440, 1840, 15120]","[0, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Male,9,349520,31.198391613412795
983,"['Avoid', 'None']","[4000, 4480]","[2, 4]",Adult,Female,2,25920,2.1540891792920225
984,"['Approach', 'None']","[3120, 6640]","[0, 4]",Adult,Female,2,26560,2.211531557406477
985,"['Avoid', 'None']","[3760, 11360]","[2, 4]",Adult,Female,2,52960,4.581029654627701
986,"['Approach', 'None', 'None', 'None']","[3360, 21600, 23760, 16240]","[0, 4, 4, 4]",Adult,Female,4,246400,21.942988439721404
987,"['Approach', 'None']","[4800, 17680]","[0, 4]",Adult,Female,2,70720,6.1750556473037985
990,"['Approach', 'None']","[10160, 6640]","[0, 4]",Adult,Female,2,26560,2.211531557406477
991,"['Approach', 'None']","[7840, 10880]","[0, 4]",Adult,Female,2,43520,3.7337545774395062
993,"['Approach', 'None']","[6720, 44400]","[0, 4]",Adult,Female,2,177600,15.767932792417605
994,"['Approach', 'None']","[4640, 9760]","[0, 4]",Adult,Female,2,39040,3.3316579306383285
995,"['Approach', 'Touch', 'None', 'None']","[2480, 1760, 48800, 8400]","[0, 5, 4, 4]",Adult,Female,4,237600,21.153155740647662
997,"['Approach', 'None']","[8000, 2720]","[0, 4]",Adult,Male,2,10880,0.8041932936023553
1000,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'None', 'None']","[6400, 9360, 2160, 6720, 4320, 28400, 8880, 11040]","[0, 4, 5, 4, 5, 4, 4, 4]",Adult,Male,8,290000,25.85625044876858
1002,"['Approach', 'None']","[3760, 17360]","[0, 4]",Child,Male,2,69440,6.060170891074891
1005,"['Approach', 'None']","[5520, 13840]","[0, 4]",Child,Male,2,55360,4.796438572556904
1006,"['Approach', 'Touch', 'None', 'Touch', 'None']","[3200, 5680, 560, 2720, 27680]","[0, 5, 4, 5, 4]",Child,Male,5,154960,13.735908666618798
1007,"['Approach', 'None', 'Gesture', 'None']","[4640, 3600, 1920, 9440]","[0, 4, 5, 4]",Child,Male,4,61760,5.370862353701443
1012,"['Approach', 'None']","[4800, 4080]","[0, 4]",Adult,Male,2,16320,1.2924535075752137
1013,"['Approach', 'Gesture']","[1920, 3840]","[0, 5]",Adult,Male,2,19200,1.5509442090902563
1014,"['Approach', 'Gesture']","[3760, 3920]","[0, 5]",Adult,Male,2,19600,1.5868456954117898
1034,"['Approach', 'None']","[8160, 6880]","[0, 4]",Child,Male,2,27520,2.2976951245781576
1037,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[4880, 2240, 1040, 24000, 480, 2160, 1760, 3840, 2240, 6640, 17440, 19600, 30720, 3040, 39920, 7760]","[0, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5]",Child,Male,16,720800,64.52215121706038
1038,"['Approach', 'None']","[5040, 31440]","[0, 4]",Child,Male,2,125760,11.115100165146837
1039,"['Approach', 'None']","[4960, 2160]","[0, 4]",Child,Male,2,8640,0.6031449702017663
