pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
177,"['Approach', 'None', 'Gesture', 'None', 'Gesture']",5,"[3, 4, 5, 4, 5]","[3600, 2640, 7440, 3040, 3240]","[0.18036072144288579, 0.13226452905811623, 0.3727454909819639, 0.1523046092184369, 0.1623246492985972]",Child,Male,"베이지색 상의, 검정색 바지",4.354709418837675,81.31602615626909,high
178,"['Approach', 'None', 'Gesture', 'None']",4,"[3, 4, 5, 4]","[10640, 10800, 7840, 10000]","[0.2708757637474542, 0.27494908350305497, 0.19959266802443992, 0.2545824847250509]",Child,Male,"베이지색 상의, 검정색 바지",3.9287169042769854,68.50155001034919,low
179,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Gesture', 'None']",11,"[3, 4, 5, 4, 5, 4, 5, 5, 4, 5, 4]","[5120, 11080, 4000, 15280, 4800, 29600, 2800, 5200, 7840, 6320, 12240]","[0.04909858074415036, 0.1062523973916379, 0.038358266206367474, 0.14652857690832374, 0.04602991944764097, 0.2838511699271193, 0.02685078634445723, 0.04986574606827771, 0.07518220176448025, 0.06060606060606061, 0.11737629459148446]",Child,Male,"베이지색 상의, 검정색 바지",4.172612197928654,75.83827616344728,high
180,"['Approach', 'None']",2,"[3, 4]","[10800, 8080]","[0.5720338983050848, 0.4279661016949153]",Child,Male,"베이지색 상의, 검정색 바지",3.4279661016949152,53.43823552616007,low
182,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Gesture']",9,"[3, 4, 5, 4, 5, 4, 5, 4, 5]","[5680, 2880, 7280, 53920, 4400, 30480, 2400, 2960, 7760]","[0.04823369565217391, 0.024456521739130436, 0.06182065217391304, 0.4578804347826087, 0.03736413043478261, 0.25883152173913043, 0.020380434782608696, 0.025135869565217392, 0.06589673913043478]",Child,Male,"베이지색 상의, 검정색 바지",4.137228260869565,74.77387572941613,high
183,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[8000, 8320, 5160, 8880, 4560, 11760]","[0.1713796058269066, 0.17823479005998286, 0.11053984575835475, 0.19023136246786632, 0.09768637532133675, 0.2519280205655527]",Child,Male,"베이지색 상의, 검정색 바지",4.036846615252784,71.75424942313941,high
184,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[7360, 7200, 11200]","[0.2857142857142857, 0.2795031055900621, 0.43478260869565216]",Child,Male,"베이지색 상의, 검정색 바지",3.9937888198757765,70.4590081386216,high
185,"['Approach', 'Gesture', 'None', 'Gesture', 'None']",5,"[3, 5, 4, 5, 4]","[10240, 7520, 3040, 3520, 16080]","[0.25346534653465347, 0.18613861386138614, 0.07524752475247524, 0.08712871287128712, 0.39801980198019804]",Child,Male,"베이지색 상의, 검정색 바지",4.01980198019802,71.24152194117782,high
190,"['Approach', 'Touch', 'Gesture', 'Touch', 'Gesture']",5,"[3, 5, 5, 5, 5]","[5280, 6120, 4720, 32080, 7360]","[0.09503239740820735, 0.1101511879049676, 0.08495320374370051, 0.5773938084953204, 0.13246940244780417]",Child,Female,"베이지색 상의, 청바지, 흰색 운동화",4.809935205183585,95.00988175406788,high
191,"['Approach', 'Touch']",2,"[3, 5]","[4560, 36800]","[0.1102514506769826, 0.8897485493230174]",Child,Female,"베이지색 상의, 청바지, 흰색 운동화",4.7794970986460354,94.09425911559349,high
192,"['Approach', 'Touch']",2,"[3, 5]","[11040, 44880]","[0.19742489270386265, 0.8025751072961373]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",4.605150214592275,88.84965055920514,high
193,"['Approach', 'Touch']",2,"[3, 5]","[6960, 26160]","[0.21014492753623187, 0.7898550724637681]",Child,Female,"검정 상의, 흰색 조끼, 회색 바지",4.579710144927536,88.08437615947649,high
194,"['Approach', 'None']",2,"[3, 4]","[6160, 9680]","[0.3888888888888889, 0.6111111111111112]",Child,Female,"검정 상의, 흰색 조끼, 회색 바지",3.6111111111111116,58.94750452547195,low
195,"['Approach', 'Gesture', 'Touch', 'Touch', 'Touch', 'None', 'Touch', 'Touch', 'Touch']",9,"[3, 5, 5, 5, 5, 4, 5, 5, 5]","[6000, 5320, 14400, 11160, 6200, 3000, 16520, 17800, 24280]","[0.0573175391669851, 0.050821551394726786, 0.13756209400076425, 0.10661062285059228, 0.0592281238058846, 0.02865876958349255, 0.15781429117309898, 0.1700420328620558, 0.2319449751623997]",Child,Female,"민트색 상의, 베이지색 바지",4.856706152082538,96.41682005197858,high
204,"['Approach', 'None']",2,"[3, 4]","[23440, 45040]","[0.3422897196261682, 0.6577102803738317]",Child,Female,"분홍색 상의, 분홍색 레이스 치마, 회색 바지",3.6577102803738315,60.34927550154795,low
205,"['Approach', 'Touch']",2,"[3, 5]","[19760, 13120]","[0.6009732360097324, 0.39902676399026765]",Child,Female,"검정색 상의, 차콜색 바지",3.798053527980535,64.57100507947654,low
