pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
307,"['Approach', 'Gesture']",2,"[3, 5]","[11200, 26560]","[0.2966101694915254, 0.7033898305084746]",Child,Female,"분홍색 상의, 분홍색 치마",4.406779661016949,82.88237498520729,high
308,"['Approach', 'Touch']",2,"[3, 5]","[7760, 44080]","[0.14969135802469136, 0.8503086419753086]",Child,Female,"분홍색 상의, 분홍색 치마",4.700617283950618,91.72143924374338,high
309,"['Approach', 'Touch']",2,"[3, 5]","[3840, 55840]","[0.064343163538874, 0.935656836461126]",Child,Female,"분홍색 상의, 분홍색 치마",4.871313672922252,96.85623558383267,high
312,"['Approach', 'None']",2,"[3, 4]","[6800, 2240]","[0.7522123893805309, 0.24778761061946902]",Child,Male,"회색 조끼, 검정색 바지",3.2477876106194685,48.018203725189984,low
313,"['Approach', 'None']",2,"[3, 4]","[9280, 29280]","[0.24066390041493776, 0.7593360995850622]",Child,Male,"회색 조끼, 검정색 바지",3.759336099585062,63.40632836416663,low
314,"['Approach', 'None']",2,"[3, 4]","[9520, 5520]","[0.6329787234042553, 0.3670212765957447]",Child,Male,"회색 조끼, 검정색 바지",3.367021276595745,51.60492629945694,low
316,"['Approach', 'Touch']",2,"[3, 5]","[7920, 18080]","[0.3046153846153846, 0.6953846153846154]",Child,Male,"회색 조끼, 검정색 바지",4.390769230769231,82.40075789222415,high
317,"['Approach', 'Gesture', 'Touch', 'Gesture']",4,"[3, 5, 5, 5]","[4720, 6960, 12880, 27360]","[0.09090909090909091, 0.13405238828967642, 0.24807395993836673, 0.5269645608628659]",Child,Male,"회색 조끼, 검정색 바지",4.818181818181818,95.25795190069822,high
320,"['Approach', 'None']",2,"[3, 4]","[8960, 32480]","[0.21621621621621623, 0.7837837837837838]",Adult,Female,"분홍색 아이 가방, 파란색 상의, 검정색 바지",3.7837837837837838,64.1417503616883,low
321,"['Approach', 'Touch']",2,"[3, 5]","[5280, 71840]","[0.06846473029045644, 0.9315352697095436]",Adult,Female,"분홍색 아이 가방, 파란색 상의, 검정색 바지",4.863070539419088,96.60827010548884,high
322,"['Approach', 'None', 'None']",3,"[3, 4, 4]","[6800, 3440, 11600]","[0.31135531135531136, 0.1575091575091575, 0.5311355311355311]",Adult,Female,"분홍색 아이 가방, 파란색 상의, 검정색 바지",3.688644688644689,61.27982762001382,low
323,"['Approach', 'None']",2,"[3, 4]","[7760, 3440]","[0.6928571428571428, 0.30714285714285716]",Adult,Female,"검정색 가방, 검정색 상의, 검정색 바지",3.307142857142857,49.80369610994126,low
324,"['Approach', 'None']",2,"[3, 4]","[7840, 9440]","[0.4537037037037037, 0.5462962962962963]",Adult,Female,"검정색 가방, 검정색 상의, 검정색 바지",3.5462962962962963,56.99778036376174,low
325,"['Approach', 'None']",2,"[3, 4]","[6240, 24000]","[0.20634920634920634, 0.7936507936507936]",Adult,Female,"검정색 가방, 검정색 상의, 검정색 바지",3.7936507936507935,64.4385644094721,low
326,"['Approach', 'None']",2,"[3, 4]","[6880, 3840]","[0.6417910447761194, 0.3582089552238806]",Adult,Female,"검정색 가방, 검정색 상의, 검정색 바지",3.3582089552238807,51.339838819864994,low
328,"['Approach', 'Touch']",2,"[3, 5]","[12400, 2080]","[0.856353591160221, 0.143646408839779]",Child,Female,"분홍색 상의, 분홍색 치마",3.2872928176795577,49.20657797170275,low
329,"['Approach', 'Touch', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",8,"[3, 5, 5, 4, 5, 4, 5, 4]","[6160, 6560, 134880, 5680, 10240, 3200, 2800, 8720]","[0.034560143626570915, 0.03680430879712747, 0.7567324955116697, 0.031867145421903054, 0.05745062836624776, 0.017953321364452424, 0.01570915619389587, 0.048922800718132854]",Child,Female,"분홍색 상의, 분홍색 치마",4.83213644524237,95.67772743543281,high
330,"['Approach', 'None', 'Touch', 'Gesture', 'None', 'None', 'Touch', 'None', 'Touch', 'None']",10,"[3, 4, 5, 5, 4, 4, 5, 4, 5, 4]","[2160, 2320, 3360, 4800, 0, 3040, 3440, 640, 69680, 8400]","[0.022076860179885527, 0.023712183156173343, 0.03434178250204415, 0.04905968928863451, 0.0, 0.03107113654946852, 0.03515944399018806, 0.006541291905151268, 0.7121831561733443, 0.08585445625511039]",Child,Female,"분홍색 상의, 분홍색 치마",4.808667211774326,94.97173866295537,high
332,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[11360, 6160, 1520, 3840, 9040]","[0.3558897243107769, 0.19298245614035087, 0.047619047619047616, 0.12030075187969924, 0.2832080200501253]",Child,Male,"회색 조끼, 검정색 바지",3.9573934837092724,69.36418334431887,low
333,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[5120, 14800, 13120]","[0.1549636803874092, 0.44794188861985473, 0.39709443099273606]",Child,Male,"회색 조끼, 검정색 바지",4.242130750605327,77.92949562042011,high
335,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[5600, 44880, 9120]","[0.09395973154362416, 0.7530201342281879, 0.15302013422818792]",Child,Male,"회색 조끼, 검정색 바지",4.659060402684563,90.47134764475867,high
337,"['Approach', 'Gesture']",2,"[3, 5]","[15360, 4160]","[0.7868852459016393, 0.21311475409836064]",Child,Male,"청록색 상의, 검정색 바지",3.4262295081967213,53.385996260921544,low
338,"['Approach', 'None']",2,"[3, 4]","[2800, 2720]","[0.5072463768115942, 0.4927536231884058]",Child,Male,"청록색 상의, 검정색 바지",3.492753623188406,55.38713866495768,low
340,"['Approach', 'Touch']",2,"[3, 5]","[8000, 3840]","[0.6756756756756757, 0.32432432432432434]",Child,Male,"청록색 상의, 검정색 바지",3.648648648648649,60.07668840291029,low
341,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[2560, 2640, 9280, 9840, 5440]","[0.08602150537634409, 0.08870967741935484, 0.3118279569892473, 0.33064516129032256, 0.1827956989247312]",Child,Male,"청록색 상의, 검정색 바지",4.333333333333333,80.67300232738556,high
342,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[4800, 3280, 2320, 8400, 3440, 22400]","[0.10752688172043011, 0.07347670250896057, 0.05197132616487455, 0.1881720430107527, 0.07706093189964158, 0.5017921146953405]",Child,Male,"청록색 상의, 검정색 바지",4.021505376344086,71.29276258164619,high
343,"['Approach', 'None']",2,"[3, 4]","[6720, 10880]","[0.38181818181818183, 0.6181818181818182]",Child,Male,"빨간색 상의, 검정색 바지",3.618181818181818,59.16020170674942,low
344,"['Approach', 'None']",2,"[3, 4]","[3840, 3200]","[0.5454545454545454, 0.45454545454545453]",Child,Male,"빨간색 상의, 검정색 바지",3.454545454545454,54.237781225756386,low
346,"['Pass', 'Gesture']",2,"[1, 5]","[18640, 7920]","[0.7018072289156626, 0.29819277108433734]",Adult,Female,"초록색 상의, 청바지, 흰색 운동화",2.192771084337349,16.281767878340354,low
348,"['Approach', 'Touch', 'None', 'Touch']",4,"[3, 5, 4, 5]","[5440, 9920, 1360, 6080]","[0.23859649122807017, 0.43508771929824563, 0.05964912280701754, 0.26666666666666666]",Child,Male,"청록색 상의, 검정색 바지",4.463157894736842,84.57831448287124,high
352,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[2320, 8560, 27440, 3840, 7440, 4080, 7200]","[0.03810775295663601, 0.14060446780551905, 0.4507227332457293, 0.06307490144546649, 0.12220762155059132, 0.06701708278580815, 0.11826544021024968]",Child,Male,"청록색 상의, 검정색 바지",4.232588699080158,77.64245679350901,high
353,"['Approach', 'Touch', 'Gesture', 'None', 'Touch', 'None']",6,"[3, 5, 5, 4, 5, 4]","[4480, 6240, 2160, 7000, 5280, 12160]","[0.12004287245444802, 0.16720257234726688, 0.05787781350482315, 0.18756698821007503, 0.1414790996784566, 0.3258306538049303]",Child,Male,"청록색 상의, 검정색 바지",4.246516613076099,78.06142876029925,high
354,"['Approach', 'None']",2,"[3, 4]","[3840, 7600]","[0.3356643356643357, 0.6643356643356644]",Child,Male,"빨간색 상의, 검정색 바지",3.6643356643356646,60.54857671420899,low
357,"['Approach', 'None']",2,"[3, 4]","[10800, 43920]","[0.19736842105263158, 0.8026315789473685]",Child,Male,"빨간색 상의, 검정색 바지",3.8026315789473686,64.70871952962312,low
358,"['Approach', 'None']",2,"[3, 4]","[6400, 12000]","[0.34782608695652173, 0.6521739130434783]",Child,Male,"빨간색 상의, 검정색 바지",3.6521739130434785,60.182733497487106,low
359,"['Approach', 'None']",2,"[3, 4]","[4080, 49280]","[0.07646176911544228, 0.9235382308845578]",Adult,Female,"회색 후드티, 검정색 바지, 흰색 운동화",3.923538230884558,68.34576796163594,low
360,"['Approach', 'None']",2,"[3, 4]","[9760, 11040]","[0.46923076923076923, 0.5307692307692308]",Adult,Female,"회색 후드티, 검정색 바지, 흰색 운동화",3.5307692307692307,56.53070358656084,low
361,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[2640, 12800, 1160, 6080, 11840]","[0.07647740440324449, 0.3707995365005794, 0.03360370799536501, 0.1761297798377752, 0.3429895712630359]",Adult,Male,"검정색 상의, 회색 바지",4.47045191193511,84.79772915848245,high
363,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[3200, 9600, 12560, 5280, 3680]","[0.09324009324009325, 0.27972027972027974, 0.36596736596736595, 0.15384615384615385, 0.10722610722610723]",Child,Male,"검정 상의(흰색 모자), 검정색 바지",4.340326340326341,80.88336217700066,high
364,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[12240, 5840, 48720]","[0.18323353293413175, 0.08742514970059881, 0.7293413173652694]",Adult,Male,"검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화",3.904191616766467,67.76379359202464,low
365,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[2400, 2240, 26800, 3200, 8880]","[0.05514705882352941, 0.051470588235294115, 0.6158088235294118, 0.07352941176470588, 0.20404411764705882]",Adult,Male,"검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화",4.069852941176471,72.74712784648383,high
366,"['Approach', 'None']",2,"[3, 4]","[5360, 25280]","[0.17493472584856398, 0.825065274151436]",Adult,Male,"검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화",3.825065274151436,65.38355780079281,low
367,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[2320, 640, 2800, 7760, 2480, 21920, 25600, 6080]","[0.03333333333333333, 0.009195402298850575, 0.040229885057471264, 0.11149425287356322, 0.035632183908045977, 0.31494252873563217, 0.367816091954023, 0.08735632183908046]",Adult,Male,"검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화",4.410344827586207,82.98962039538803,high
368,"['Approach', 'None']",2,"[3, 4]","[10480, 8080]","[0.5646551724137931, 0.4353448275862069]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",3.4353448275862073,53.66019836280464,low
369,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[2160, 2000, 36000]","[0.053784860557768925, 0.049800796812749, 0.896414342629482]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",3.99601593625498,70.52600304754604,high
370,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Touch', 'None', 'None', 'Touch', 'None', 'Touch', 'None']",15,"[3, 5, 4, 5, 4, 5, 4, 5, 5, 4, 4, 5, 4, 5, 4]","[2880, 6320, 240, 3680, 2880, 4240, 3440, 5280, 2800, 0, 14560, 3920, 11760, 1520, 82480]","[0.019726027397260273, 0.04328767123287671, 0.0016438356164383563, 0.025205479452054796, 0.019726027397260273, 0.02904109589041096, 0.023561643835616437, 0.03616438356164384, 0.019178082191780823, 0.0, 0.09972602739726028, 0.02684931506849315, 0.08054794520547945, 0.010410958904109589, 0.564931506849315]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",4.170410958904109,75.77205968309298,high
371,"['Approach', 'None', 'Touch', 'None', 'Touch', 'Approach', 'Gesture', 'Approach', 'Touch', 'Approach', 'Gesture', 'None']",12,"[3, 4, 5, 4, 5, 3, 5, 3, 5, 3, 5, 4]","[2080, 6800, 8800, 9760, 4320, 960, 2240, 12640, 2240, 2080, 25760, 24000]","[0.020456333595594022, 0.06687647521636507, 0.08654602675059009, 0.0959874114870181, 0.042486231313926044, 0.00944138473642801, 0.022029897718332022, 0.12431156569630213, 0.022029897718332022, 0.020456333595594022, 0.25334382376081827, 0.23603461841070023]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",4.25177025963808,78.21946611130068,high
372,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[4240, 2080, 2800, 50480]","[0.07114093959731543, 0.0348993288590604, 0.04697986577181208, 0.8469798657718121]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",3.9758389261744966,69.91904915625764,low
373,"['Approach', 'None']",2,"[3, 4]","[5520, 40000]","[0.12126537785588752, 0.8787346221441125]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",3.8787346221441124,66.99801006488593,low
374,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",11,"[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[13200, 4240, 15840, 3040, 1680, 5520, 2160, 3040, 10320, 7040, 8240]","[0.17761033369214208, 0.05705059203444564, 0.2131324004305705, 0.04090419806243272, 0.022604951560818085, 0.07427341227125941, 0.02906350914962325, 0.04090419806243272, 0.13885898815931108, 0.09472551130247578, 0.1108719052744887]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",4.130247578040904,74.56388660863928,high
375,"['Approach', 'Gesture']",2,"[3, 5]","[5920, 5760]","[0.5068493150684932, 0.4931506849315068]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",3.986301369863014,70.2337747218296,high
380,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",8,"[3, 4, 5, 4, 5, 4, 5, 4]","[10880, 1200, 2400, 880, 2320, 14880, 3840, 11440]","[0.22742474916387959, 0.02508361204013378, 0.05016722408026756, 0.01839464882943144, 0.048494983277591976, 0.3110367892976589, 0.0802675585284281, 0.2391304347826087]",Adult,Male,"검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화",3.9515050167224084,69.1870496690546,low
381,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Touch']",8,"[3, 4, 5, 4, 5, 5, 4, 5]","[3120, 2160, 2760, 8280, 3360, 2160, 10800, 2400]","[0.08904109589041095, 0.06164383561643835, 0.07876712328767123, 0.2363013698630137, 0.0958904109589041, 0.06164383561643835, 0.3082191780821918, 0.0684931506849315]",Adult,Male,"검정색 점퍼, 흰색 상의, 검정색 바지, 흰색 운동화",4.215753424657534,77.13602718471364,high
382,"['Approach', 'None']",2,"[3, 4]","[5120, 7840]","[0.3950617283950617, 0.6049382716049383]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",3.6049382716049383,58.76181651007097,low
383,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[4080, 13360, 3600, 2080, 5680, 9760, 23600]","[0.06563706563706563, 0.21492921492921493, 0.05791505791505792, 0.03346203346203346, 0.09137709137709138, 0.15701415701415702, 0.37966537966537967]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",4.33976833976834,80.866576706375,high
384,"['Approach', 'Gesture', 'None']",3,"[3, 5, 4]","[1680, 2240, 16560]","[0.08203125, 0.109375, 0.80859375]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",4.02734375,71.46838937645461,high
385,"['Approach', 'None']",2,"[3, 4]","[12240, 4000]","[0.7536945812807881, 0.24630541871921183]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",3.2463054187192117,47.97361723106085,low
386,"['Pass', 'Gesture', 'None', 'Gesture']",4,"[1, 5, 4, 5]","[17760, 9440, 1040, 7360]","[0.49887640449438203, 0.2651685393258427, 0.029213483146067417, 0.20674157303370785]",Adult,Female,"크로스백, 차콜색 자켓, 청바지",2.9752808988764046,39.82080438629371,low
387,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[3680, 12480, 3760, 5680]","[0.14375, 0.4875, 0.146875, 0.221875]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",4.003125,70.73985405352985,high
388,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[3360, 8400, 9120]","[0.16091954022988506, 0.40229885057471265, 0.4367816091954023]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",4.275862068965518,78.94418287365241,high
389,"['Approach', 'None']",2,"[3, 4]","[2320, 1040]","[0.6904761904761905, 0.30952380952380953]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",3.3095238095238093,49.87531863016734,low
390,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']",6,"[3, 5, 4, 5, 4, 5]","[2080, 10080, 1840, 6720, 320, 3840]","[0.08360128617363344, 0.40514469453376206, 0.07395498392282958, 0.27009646302250806, 0.012861736334405145, 0.15434083601286175]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",4.745980707395499,93.08603718328973,high
391,"['Approach', 'Touch']",2,"[3, 5]","[1440, 1200]","[0.5454545454545454, 0.45454545454545453]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",3.9090909090909087,67.911171450737,low
392,"['Approach', 'Gesture']",2,"[3, 5]","[4240, 7200]","[0.3706293706293706, 0.6293706293706294]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",4.258741258741258,78.4291639314913,high
393,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[3600, 4160, 13520]","[0.16917293233082706, 0.19548872180451127, 0.6353383458646616]",Child,Male,"검정색 상의, 검정색 바지, 검정색 운동화",4.466165413533835,84.66878503473579,high
397,"['Pass', 'Gesture', 'Touch']",3,"[1, 5, 5]","[17680, 1120, 2320]","[0.8371212121212122, 0.05303030303030303, 0.10984848484848485]",Adult,Male,"검정색 상의, 검정색 바지, 검정색 운동화",1.6515151515151514,0.0,low
398,"['Approach', 'None']",2,"[3, 4]","[11680, 18640]","[0.38522427440633245, 0.6147757255936676]",Adult,Male,"배낭, 검정색 맨투맨, 검정색 바지",3.6147757255936677,59.057741473928985,low
399,"['Approach', 'None']",2,"[3, 4]","[14240, 14080]","[0.5028248587570622, 0.4971751412429379]",Adult,Male,"배낭, 검정색 맨투맨, 검정색 바지",3.4971751412429377,55.52014437679978,low
400,"['Approach', 'Touch']",2,"[3, 5]","[4320, 13520]","[0.242152466367713, 0.757847533632287]",Child,Female,"보라색 상의, 흰색 조끼, 보라색 바지",4.5156950672645735,86.15870925770662,high
404,"['Approach', 'None']",2,"[3, 4]","[2240, 22160]","[0.09180327868852459, 0.9081967213114754]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.9081967213114757,67.88427297816327,low
405,"['Approach', 'None']",2,"[3, 4]","[4560, 36400]","[0.111328125, 0.888671875]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.888671875,67.2969371242242,low
406,"['Approach', 'None']",2,"[3, 4]","[4400, 23680]","[0.15669515669515668, 0.8433048433048433]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.8433048433048436,65.93223064324694,low
407,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[3840, 1440, 20400]","[0.14953271028037382, 0.056074766355140186, 0.794392523364486]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.906542056074766,67.83449823452216,low
408,"['Approach', 'None']",2,"[3, 4]","[13520, 61280]","[0.18074866310160428, 0.8192513368983957]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.819251336898396,65.20866608862319,low
409,"['Approach', 'None']",2,"[3, 4]","[4960, 28560]","[0.14797136038186157, 0.8520286396181385]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.8520286396181387,66.19465515996379,low
410,"['Approach', 'None']",2,"[3, 4]","[12960, 26720]","[0.32661290322580644, 0.6733870967741935]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.673387096774193,60.8208570034285,low
411,"['Approach', 'None']",2,"[3, 4]","[3200, 16160]","[0.1652892561983471, 0.8347107438016529]",Adult,Female,"크로스백, 흰색 상의, 검정색 조끼, 검정색 바지",3.834710743801653,65.67370759574018,low
414,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[2800, 12320, 8480]","[0.11864406779661017, 0.5220338983050847, 0.3593220338983051]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",4.403389830508475,82.78040393946169,high
415,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[2560, 3440, 2080, 15760]","[0.10738255033557047, 0.14429530201342283, 0.087248322147651, 0.6610738255033557]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",3.9798657718120802,70.04018254617021,high
416,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[2400, 3520, 3280, 15760, 3520, 2640, 3680]","[0.06896551724137931, 0.10114942528735632, 0.09425287356321839, 0.4528735632183908, 0.10114942528735632, 0.07586206896551724, 0.10574712643678161]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",4.560919540229885,87.51912736416895,high
417,"['Approach', 'None']",2,"[3, 4]","[2640, 4000]","[0.39759036144578314, 0.6024096385542169]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",3.6024096385542173,58.685751539906725,low
418,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[2800, 1360, 15920]","[0.1394422310756972, 0.06772908366533864, 0.7928286852589641]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",3.9282868525896415,68.48861342836567,low
419,"['Approach', 'Touch']",2,"[3, 5]","[1200, 22160]","[0.05136986301369863, 0.9486301369863014]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",4.897260273972603,97.63674718641401,high
420,"['Approach', 'None']",2,"[3, 4]","[15520, 24800]","[0.38492063492063494, 0.6150793650793651]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",3.6150793650793656,59.06687539251544,low
421,"['Approach', 'None']",2,"[3, 4]","[3200, 30800]","[0.09411764705882353, 0.9058823529411765]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",3.9058823529411764,67.81465340209007,low
422,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[2640, 17440, 15840]","[0.07349665924276169, 0.48552338530066813, 0.44097995545657015]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",4.412026726057906,83.04021435445719,high
423,"['Approach', 'Touch', 'None', 'Touch']",4,"[3, 5, 4, 5]","[7040, 6560, 11280, 10400]","[0.19954648526077098, 0.18594104308390022, 0.3197278911564626, 0.2947845804988662]",Child,Male,"검정색 크로스백, 회색 상의, 검정색 바지",4.2811791383219955,79.1041280748141,high
427,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",6,"[3, 4, 5, 4, 5, 4]","[7200, 21600, 4480, 8480, 4160, 2400]","[0.1490066225165563, 0.4470198675496689, 0.09271523178807947, 0.17549668874172186, 0.08609271523178808, 0.04966887417218543]",Child,Female,"검정색 크로스백, 회색 상의, 흰색 바지",4.029801324503311,71.54231680187424,high
428,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']",11,"[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[1360, 2080, 8000, 2880, 4240, 3040, 10800, 1760, 4000, 2800, 3600]","[0.03052064631956912, 0.0466786355475763, 0.17953321364452424, 0.06463195691202872, 0.09515260323159784, 0.06822262118491922, 0.24236983842010773, 0.03949730700179533, 0.08976660682226212, 0.06283662477558348, 0.0807899461400359]",Child,Female,"검정색 크로스백, 회색 상의, 흰색 바지",4.251346499102334,78.20671877633283,high
429,"['Approach', 'None']",2,"[3, 4]","[2960, 12320]","[0.193717277486911, 0.806282722513089]",Child,Female,"검정색 크로스백, 회색 상의, 흰색 바지",3.806282722513089,64.81855125325447,low
430,"['Approach', 'Touch']",2,"[3, 5]","[1040, 3600]","[0.22413793103448276, 0.7758620689655172]",Child,Female,"검정색 크로스백, 회색 상의, 흰색 바지",4.551724137931035,87.24251625157166,high
431,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[2560, 3440, 3360]","[0.27350427350427353, 0.36752136752136755, 0.358974358974359]",Child,Female,"검정색 크로스백, 회색 상의, 흰색 바지",4.085470085470086,73.21691432436197,high
432,"['Approach', 'None', 'Gesture', 'None']",4,"[3, 4, 5, 4]","[8400, 1200, 5840, 7680]","[0.3633217993079585, 0.05190311418685121, 0.25259515570934254, 0.33217993079584773]",Child,Female,"검정색 크로스백, 회색 상의, 흰색 바지",3.889273356401384,67.31503056203543,low
438,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Touch', 'None']",12,"[3, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]","[7440, 21040, 4240, 1920, 3760, 2080, 3280, 2640, 2960, 9280, 3760, 8560]","[0.10484780157835401, 0.2965050732807215, 0.05975197294250282, 0.02705749718151071, 0.05298759864712514, 0.029312288613303268, 0.046223224351747465, 0.03720405862457723, 0.04171364148816235, 0.13077790304396844, 0.05298759864712514, 0.12063134160090191]",Adult,Male,"검정색 마스크, 검정색 상의, 청바지, 검정색 운동화",4.148816234498309,75.12245887716983,high
439,"['Approach', 'None']",2,"[3, 4]","[3520, 9520]","[0.26993865030674846, 0.7300613496932515]",Adult,Male,"검정색 마스크, 검정색 상의, 청바지, 검정색 운동화",3.7300613496932513,62.52570119034586,low
440,"['Approach', 'None']",2,"[3, 4]","[4960, 2400]","[0.6739130434782609, 0.32608695652173914]",Adult,Male,"검정색 마스크, 검정색 상의, 청바지, 검정색 운동화",3.3260869565217392,50.37356224913145,low
442,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[12000, 2400, 13360, 1680, 7600, 3200, 2560]","[0.2803738317757009, 0.056074766355140186, 0.3121495327102804, 0.03925233644859813, 0.17757009345794392, 0.07476635514018691, 0.059813084112149535]",Adult,Female,"베이지색 가방, 아이보리색 점퍼, 검정 치마",3.8897196261682248,67.32845500750419,low
443,"['Approach', 'None']",2,"[3, 4]","[3840, 2720]","[0.5853658536585366, 0.4146341463414634]",Adult,Male,"검정색 상의, 회색 바지",3.414634146341463,53.03719086453857,low
444,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[1920, 2960, 20160, 5520, 14640]","[0.04247787610619469, 0.06548672566371681, 0.44601769911504424, 0.12212389380530973, 0.3238938053097345]",Adult,Male,"검정색 상의, 회색 바지",4.145132743362832,75.01165409146144,high
445,"['Approach', 'Touch']",2,"[3, 5]","[5520, 2560]","[0.6831683168316832, 0.31683168316831684]",Adult,Male,"검정색 상의, 회색 바지",3.633663366336634,59.625909255006185,low
