,code,duration,predicted_engagement_levels
323,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[15680, 5680, 5520, 10080, 3680, 4720, 11760, 3760, 2560, 2800, 5840]",low
324,"['Approach', 'None', 'Approach', 'None']","[5280, 5280, 2400, 62080]",high
325,"['Approach', 'None']","[1680, 3920]",high
326,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[15920, 27360, 15120, 32080, 2800, 56560]",high
327,"['Approach', 'Approach', 'None']","[16640, 4480, 0]",low
328,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[23520, 4960, 8160, 32960, 4480, 74080, 17600, 17120]",high
329,"['Approach', 'None']","[9760, 21040]",high
330,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[8000, 24720, 31920, 2720, 26480, 5280, 5280, 28480]",low
331,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch']","[8800, 25440, 3760, 4160, 2000, 12320, 3360, 6480, 3360, 1280, 2320, 39280, 1920, 10880]",low
332,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[4000, 1440, 3360, 10720, 2720, 3040, 2320, 10080, 2160, 9920, 2880, 8560, 2480, 34480, 3120, 6800, 2560, 11920, 3600, 6080, 3200, 17680, 5120, 2800, 2160, 3360, 3840, 13120]",low
333,"['Approach', 'Touch']","[4960, 17120]",low
334,"['Approach', 'Touch']","[13360, 27520]",low
335,"['Approach', 'None']","[17280, 16480]",high
336,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5360, 2560, 18800, 5440, 3200, 1760]",high
337,"['Approach', 'None']","[6320, 29160]",high
338,"['Approach', 'None']","[2240, 2160]",high
339,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None']","[13040, 7520, 2160, 15360, 3440, 12880, 12440, 4160, 2320, 7760, 3200, 19520, 2160, 8800]",low
340,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None']","[13360, 2160, 1360, 3360, 10800, 1680, 29520, 1920, 1600, 4160, 1680, 8560, 1280, 4640, 2080, 17520]",low
341,"['Approach', 'None']","[5120, 5280]",high
342,"['Approach', 'Gesture', 'None', 'Approach', 'Gesture', 'None']","[8080, 5680, 960, 1760, 14640, 7680]",low
343,"['Approach', 'None']","[1920, 5440]",high
344,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'None', 'Gesture', 'Touch']","[33840, 2240, 1920, 23440, 1200, 1760, 1440, 11760, 2320, 21840, 1440, 800, 3520, 2240, 3200, 480, 1520, 1520]",low
345,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None']","[6800, 7120, 21920, 2400, 6720, 4720, 18360, 1680, 18280, 3120, 29040, 2400, 28720, 4640, 4240]",low
346,"['Approach', 'Touch', 'Gesture', 'Touch', 'None', 'Touch', 'None']","[6080, 2080, 7760, 3040, 8720, 1760, 33200]",low
347,"['Approach', 'None']","[12400, 42800]",high
348,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[13520, 12720, 3120, 13280, 1840, 2000, 4160, 17040]",high
349,"['Approach', 'None']","[20160, 3200]",high
350,"['Approach', 'None']","[8080, 72640]",high
351,"['Approach', 'None', 'Gesture', 'None']","[7360, 3280, 1760, 720]",high
352,"['Approach', 'Touch', 'None']","[12000, 3600, 8400]",low
353,"['Approach', 'None']","[3600, 2080]",high
354,"['Approach', 'None']","[3600, 49360]",high
355,"['Approach', 'None', 'Touch']","[3360, 400, 3440]",high
356,"['Approach', 'None']","[4560, 2880]",high
357,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None']","[6800, 2560, 2080, 5840, 2720, 12480]",low
358,"['Approach', 'None', 'Approach', 'None']","[10720, 960, 2080, 15120]",high
359,"['Approach', 'None', 'Approach', 'None']","[11840, 1120, 3680, 14640]",high
360,"['Approach', 'Gesture']","[2320, 4080]",low
361,"['Approach', 'Touch', 'None']","[3040, 2080, 4880]",low
362,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[8000, 2960, 17440, 20640, 3920, 16320]",low
363,"['Approach', 'Gesture']","[5040, 1680]",low
364,"['Approach', 'Gesture']","[5040, 3280]",low
365,"['Approach', 'Gesture']","[3760, 6060]",low
366,"['Approach', 'None', 'Touch', 'None']","[18000, 21920, 3680, 24960]",high
367,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Avoid', 'None', 'Avoid', 'Approach', 'None', 'Avoid']","[14720, 53920, 3840, 4640, 800, 2800, 23760, 2880, 11600, 5840, 23400, 3360, 5680, 4000, 560, 2800, 7600, 1440, 14240, 560, 34960, 3280, 640, 2320, 3200, 1680, 3920]",high
368,"['Approach', 'None', 'Avoid', 'Approach', 'None', 'Avoid']","[6160, 800, 1280, 2080, 1120, 2880]",low
369,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[4080, 6720, 20240, 2320, 11920, 2640, 14880, 2640, 1760, 15280]",low
370,"['Approach', 'None', 'Approach', 'Touch', 'None']","[6400, 2720, 1600, 1360, 10400]",high
371,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None']","[10560, 6560, 2560, 1840, 2080, 2000, 8000, 3040, 8160]",high
372,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Avoid', 'Approach', 'None', 'Touch', 'Avoid', 'None', 'Follow', 'Touch', 'None', 'Avoid', 'None', 'Avoid', 'Follow', 'Gesture', 'Touch', 'Avoid', 'Follow', 'None', 'Avoid', 'None']","[9520, 3440, 9200, 22240, 16560, 6320, 6960, 1120, 2000, 4560, 6320, 2560, 8480, 2000, 4480, 1200, 3200, 4320, 2240, 5600, 3920, 4800, 7040, 4800, 4960, 8000, 11360]",low
373,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[5680, 4640, 2240, 2800, 2800, 1440, 2400, 29200, 16480, 8560, 13520]",low
374,"['Approach', 'None']","[15280, 19280]",high
375,"['Approach', 'Touch', 'None']","[13120, 2680, 13920]",low
376,"['Approach', 'None']","[6400, 1520]",high
377,"['Approach', 'None']","[3680, 1840]",high
378,"['Approach', 'Gesture']","[2000, 1520]",low
379,"['Approach', 'None']","[1360, 480]",high
380,"['Approach', 'None']","[2080, 880]",high
381,"['Approach', 'Gesture']","[1600, 1680]",low
382,"['Approach', 'Gesture']","[1920, 4560]",low
383,"['Approach', 'None']","[3200, 4480]",high
384,"['Approach', 'None']","[3680, 6560]",high
385,"['Approach', 'None', 'Touch']","[13840, 3600, 7440]",high
386,"['Approach', 'None']","[4560, 4640]",high
387,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Gesture']","[4000, 3760, 2720, 10720, 8480, 7120, 2480]",low
388,"['Approach', 'None']","[8560, 3200]",high
389,"['Approach', 'None']","[2960, 1680]",high
390,"['Approach', 'None']","[11920, 5120]",high
391,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'Touch', 'None']","[8000, 2000, 1520, 1840, 5120, 3440, 880, 2800, 2880, 2560, 9520, 1840, 800, 2240, 5200, 0]",low
392,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[12960, 8240, 3120, 17120, 2240, 5200, 8080]",low
393,"['Approach', 'None']","[2720, 26800]",high
394,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[7600, 1600, 2240, 5280, 5680, 3840, 2240, 34720]",high
395,"['Approach', 'None', 'Approach', 'None']","[5920, 7440, 2320, 5680]",high
396,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None']","[7920, 4880, 16800, 1680, 1920, 15040]",low
397,"['Approach', 'None', 'Approach', 'None']","[6560, 15680, 2240, 28080]",high
398,"['Approach', 'None', 'Touch', 'None']","[9600, 20240, 2240, 15120]",high
399,"['Approach', 'Gesture']","[3520, 3920]",low
400,"['Approach', 'None']","[6480, 26560]",high
401,"['Approach', 'None']","[10400, 7360]",high
402,"['Approach', 'None']","[12640, 3040]",high
403,"['Approach', 'Follow']","[4880, 3200]",low
404,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'Touch', 'Gesture', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'None']","[4240, 3440, 1120, 2320, 5440, 2560, 20640, 17840, 6240, 12960, 9600, 10080, 10880, 15520, 6480, 640, 5920, 5200, 10000]",low
405,"['Approach', 'None']","[6800, 13600]",high
406,"['Approach', 'None']","[6400, 11280]",high
407,"['Approach', 'None']","[7440, 10800]",high
408,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Approach', 'Gesture', 'None', 'Approach', 'Gesture']","[4080, 2800, 2880, 4160, 2080, 880, 3360, 2240, 1120, 2560, 3360, 1840, 2480]",low
409,"['Approach', 'None', 'Approach', 'None']","[4720, 1040, 2960, 12240]",high
410,"['Approach', 'Gesture']","[3280, 2320]",low
411,"['Approach', 'None']","[4080, 14000]",high
412,"['Approach', 'None', 'Approach', 'None']","[5200, 52000, 2720, 7920]",high
413,"['Approach', 'None']","[5360, 16720]",high
414,"['Approach', 'None']","[2400, 6400]",high
415,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[15920, 12640, 4960, 10560, 7680, 15280, 4320, 11120, 2480, 1680, 9040, 3680, 3200, 3040, 10800]",low
416,"['Approach', 'None']","[8000, 1600]",high
417,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None']","[11520, 3920, 80960, 2080, 1760, 7920, 2160, 21440, 1760, 1120, 18640]",low
418,"['Approach', 'None']","[4560, 1840]",high
419,"['Approach', 'Touch', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'None']","[13280, 2960, 960, 3200, 1040, 1680, 4240, 1520, 4800, 7360, 2080, 2320, 2400, 12240, 2960, 2720, 3120, 3360, 1680, 5440, 6400, 20880, 3200, 3040, 6320, 3680, 400, 2240, 7840]",low
420,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']","[6320, 14400, 19680, 7840, 1520, 6240, 1520, 1680, 8880, 3520, 5840]",low
421,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2640, 8160, 720, 2240, 2000, 3600, 12720]",low
422,"['Approach', 'None']","[5680, 71040]",high
423,"['Approach', 'None']","[6240, 8640]",high
424,"['Approach', 'None', 'Touch', 'None']","[12880, 26960, 2240, 23120]",high
425,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[3200, 5120, 2000, 14880, 5600, 18160]",high
426,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture']","[9040, 1920, 2240, 3160, 1840, 20320, 2800, 29040, 3760]",low
427,"['Approach', 'None']","[4320, 32080]",high
428,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[3200, 3680, 3840, 12480, 2240, 1920, 21120, 2320, 7200, 1840, 2400, 10800]",low
429,"['Approach', 'None']","[9920, 1280]",high
430,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[9600, 31600, 3680, 42240, 2560, 8400, 6560, 21280]",high
431,"['Approach', 'None', 'Approach', 'None']","[5600, 44960, 6800, 62720]",high
432,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[11360, 12480, 5120, 2960, 3360, 21040, 4160, 65760]",low
433,"['Approach', 'None']","[5840, 120320]",high
434,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[10160, 23000, 6760, 1920, 16800, 3840, 9280, 2400, 36800, 1760, 10640]",low
435,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None']","[2880, 33920, 3920, 6880, 1840, 2160, 75440]",high
436,"['Approach', 'None']","[4400, 7840]",high
437,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[12640, 28960, 2880, 2000, 8080, 11200]",high
438,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[4080, 32160, 2560, 7040, 5600, 7920, 2080, 17760, 3680, 14560]",low
439,"['Approach', 'None', 'Approach', 'Follow', 'Approach', 'None']","[3840, 4960, 12880, 9440, 14080, 152240]",low
440,"['Approach', 'None']","[6720, 10800]",high
441,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[12080, 2240, 2800, 30720, 4160, 8400, 3440, 15200, 3760, 50160, 4640, 18880]",low
442,"['Approach', 'Gesture']","[2560, 3440]",low
443,"['Follow', 'Avoid', 'None', 'Approach', 'None', 'Avoid', 'Follow', 'Approach', 'None']","[8320, 4560, 4480, 5280, 3360, 10400, 4720, 7200, 9920, 1680]",low
444,"['Approach', 'None', 'Touch', 'None', 'Touch']","[2880, 72320, 2720, 4080, 2880]",high
445,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[3520, 1520, 2080, 2320, 9040, 3680, 49440, 1840]",low
446,"['Avoid', 'None', 'Approach', 'None', 'Avoid', 'None']","[15120, 4000, 4480, 3120, 6640, 3760, 11360]",low
447,"['Approach', 'None']","[3360, 21600]",high
448,"['Approach', 'None', 'Approach', 'Follow']","[16240, 4800, 17680, 1440, 4160]",low
449,"['Approach', 'None']","[10160, 6640]",high
450,"['Approach', 'None']","[7840, 10880]",high
451,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[6720, 44400, 4640, 9760, 2480, 1760, 48800]",high
452,"['Approach', 'None']","[8000, 2720]",high
453,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[6400, 9360, 2160, 6720, 4320, 28400]",high
454,"['Avoid', 'Approach', 'None', 'Approach', 'Follow']","[11040, 4720, 3760, 17360, 2480, 8560]",low
455,"['Approach', 'None']","[5520, 13840]",high
456,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Gesture', 'None']","[3200, 5680, 560, 2720, 27680, 4640, 3600, 1920, 9440]",low
457,"['Approach', 'None', 'Approach', 'Gesture']","[4800, 4080, 1920, 3840]",high
458,"['Approach', 'Gesture']","[3760, 3920]",low
459,"['Approach', 'None']","[8160, 6880]",high
460,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[4880, 2240, 1040, 24000, 480, 2160, 1760, 3840, 2240, 6640, 17440, 19600, 30720, 3040, 39920, 7760]",low
461,"['Approach', 'None']","[5040, 31440]",high
462,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[4960, 2160, 2160, 22720, 3120, 720, 34080, 13680, 3840, 34160, 1760, 480, 9680, 38000, 11920, 8960, 6480, 1840, 23280, 1680, 7280, 15360, 2480, 11520, 1680, 2480, 2320]",low
463,"['Avoid', 'None', 'Approach', 'Gesture', 'Gesture', 'None']","[5360, 18000, 8320, 2880, 3440, 0]",low
464,"['Approach', 'None', 'Approach', 'None', 'Gesture', 'None', 'Touch']","[10560, 8720, 3200, 5200, 4720, 12960, 17600]",low
465,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']","[4320, 3760, 3920, 8640, 2080, 7040, 2320, 52960]",low
466,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'Touch', 'None']","[5120, 17680, 4160, 18560, 4480, 3360, 4400]",high
467,"['Approach', 'None']","[9120, 48240]",high
468,"['Approach', 'None']","[3680, 15840]",high
469,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None']","[5760, 26720, 5200, 16640, 3680, 160, 2960, 640, 3200, 12560, 3120, 12240, 2320, 83760]",low
470,"['Approach', 'None', 'Gesture', 'None']","[4640, 102400, 2240, 29920]",high
471,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch']","[15280, 4480, 1920, 3520, 24080, 1520, 7200]",high
472,"['Approach', 'None']","[6160, 10880]",high
473,"['Approach', 'None']","[3040, 15600]",high
474,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'None', 'Touch', 'Gesture', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None']","[3600, 18640, 2640, 2960, 4560, 13680, 2960, 1680, 8240, 3440, 14480, 1680, 3520, 14800, 5200, 14320, 2640, 24320, 3120, 10320, 4560, 46800, 4160, 1040, 2480, 7200, 3040, 71440, 3120, 4800]",low
475,"['Approach', 'None']","[2320, 30720]",high
476,"['Approach', 'Touch', 'None', 'Touch', 'None']","[6080, 10960, 9920, 2320, 16640]",low
477,"['Approach', 'Gesture']","[9040, 1520]",low
478,"['Approach', 'None']","[6800, 9520]",high
479,"['Approach', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Approach', 'None']","[12240, 47120, 3680, 35840, 2480, 1920, 18000, 2800, 5440]",high
480,"['Approach', 'None', 'Approach', 'None']","[12720, 6080, 33520, 2160, 10000]",high
481,"['Approach', 'None']","[9760, 135360]",high
482,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[10400, 6560, 5280, 5200, 4560, 20800]",high
483,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Approach', 'None', 'Approach', 'None']","[7680, 5200, 2800, 2400, 5360, 45360, 1840, 36400, 6320, 62800, 3840, 11680, 4800, 16480]",low
484,"['Approach', 'Touch']","[12640, 4800]",low
