,code,duration,predicted_engagement_levels
68,"['Approach', 'Touch']","[5120, 9520]",low
69,"['Approach', 'None']","[3280, 79680]",high
70,"['Approach', 'None', 'Gesture', 'Touch', 'None', 'Approach', 'None']","[8400, 24800, 2240, 5120, 29120, 3200, 6880]",high
71,"['Approach', 'Touch', 'Gesture', 'None', 'Follow']","[7840, 17760, 6000, 6960, 17440]",low
72,"['Approach', 'None']","[7360, 7440]",high
73,"['Approach', 'Touch', 'None', 'Touch', 'None']","[11520, 12480, 4880, 2800, 16320]",low
74,"['Approach', 'Touch', 'None']","[7520, 14400, 30960]",low
75,"['Approach', 'None']","[7440, 3360]",high
76,"['Approach', 'Touch']","[7440, 9200]",low
77,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach']","[10560, 10960, 3320, 3840, 17280, 3680, 27360, 38840, 7840, 3520]",high
78,"['Approach', 'Touch', 'Avoid']","[6560, 8080, 7360]",low
79,"['Approach', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[7840, 6400, 24480, 8880, 6800, 13520, 1600, 10400]",low
80,"['Approach', 'Gesture', 'None']","[2880, 2880, 9360]",low
81,"['Approach', 'None', 'Gesture', 'None', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[16480, 26240, 2320, 7760, 13440, 6000, 2560, 9840, 4160, 2800, 6960]",high
82,"['Approach', 'None', 'Avoid']","[11360, 6720, 8000]",low
83,"['Approach', 'None']","[9520, 38080]",high
84,"['Approach', 'None', 'Gesture', 'None', 'Gesture']","[3600, 2640, 7440, 3040, 3240]",low
85,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Gesture', 'None']","[10640, 10800, 7840, 10000, 5120, 11080, 4000, 15280, 4800, 29600, 2800, 5200, 7840, 6320, 12240]",low
86,"['Approach', 'None', 'Avoid']","[10800, 8080, 7200]",low
87,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Gesture']","[5680, 2880, 7280, 53920, 4400, 30480, 2400, 2960, 7760]",low
88,"['Approach', 'None']","[8000, 8320]",high
89,"['Approach', 'Gesture', 'None']","[7360, 7200, 11200]",low
90,"['Approach', 'Gesture', 'None', 'Gesture', 'None']","[10240, 7520, 3040, 3520, 16080]",low
91,"['Approach', 'Touch', 'Gesture', 'Touch', 'Gesture']","[5280, 6120, 4720, 32080, 7360]",low
92,"['Approach', 'Touch']","[4560, 36800]",low
93,"['Approach', 'Touch']","[11040, 44880]",low
94,"['Approach', 'Touch', 'Approach', 'None']","[6960, 26160, 6160, 9680]",low
95,"['Approach', 'Gesture']","[6000, 5320]",low
96,"['Approach', 'None']","[23440, 45040]",high
97,"['Approach', 'Touch']","[19760, 13120]",low
98,"['Approach', 'None', 'Gesture']","[3360, 71040, 12680]",high
99,"['Approach', 'None']","[10000, 22760]",high
100,"['Approach', 'None']","[9040, 2960]",high
101,"['Approach', 'None']","[15920, 8560]",high
102,"['Approach', 'None']","[8960, 37040]",high
103,"['Approach', 'Gesture']","[18160, 45360]",low
104,"['Approach', 'Touch']","[6480, 49040]",low
105,"['Approach', 'None']","[4640, 11280]",high
106,"['Approach', 'Touch', 'Approach', 'Touch']","[4080, 52560, 2880, 86720]",low
107,"['Approach', 'None']","[13120, 8320]",high
108,"['Approach', 'Touch', 'Follow', 'Approach', 'Touch', 'Approach', 'None']","[6160, 2640, 34720, 4000, 63920, 5920, 38960]",low
109,"['Approach', 'None']","[6400, 5120]",high
110,"['Approach', 'Touch']","[8000, 32000]",low
111,"['Approach', 'None']","[9760, 11840]",high
112,"['Approach', 'Follow']","[6240, 38400]",low
113,"['Approach', 'Touch']","[2720, 94640]",low
114,"['Approach', 'None', 'Approach', 'None']","[4720, 14640, 4320, 22400]",high
115,"['Approach', 'None']","[8560, 12880]",high
116,"['Approach', 'Touch']","[3360, 2880]",low
117,"['Approach', 'Touch']","[4960, 4240]",low
118,"['Approach', 'Touch', 'Approach', 'Touch', 'Approach', 'Avoid', 'Follow', 'Avoid', 'Follow', 'Follow', 'Approach', 'None']","[3960, 33960, 2320, 56560, 4360, 5600, 11840, 8560, 5280, 6080, 11520, 10320]",low
119,"['Approach', 'None']","[5600, 3440]",high
120,"['Approach', 'None']","[7120, 8960]",high
121,"['Approach', 'Touch', 'Approach', 'Touch']","[4240, 45120, 2080, 12560]",low
122,"['Approach', 'Avoid', 'Follow']","[3920, 3520, 24480]",low
123,"['Approach', 'Touch', 'Approach', 'None']","[11680, 81920, 2640, 23760]",low
124,"['Approach', 'None']","[4800, 33280]",high
125,"['Approach', 'Touch']","[2000, 63680]",low
126,"['Approach', 'None']","[7680, 83840]",high
127,"['Approach', 'Touch']","[8400, 56800]",low
128,"['Approach', 'None']","[7440, 6000]",high
129,"['Approach', 'Touch']","[4160, 4800]",low
130,"['Approach', 'Gesture', 'Avoid']","[2080, 4160, 14000]",low
131,"['Approach', 'Touch', 'Approach', 'None', 'Approach', 'None']","[5840, 35600, 10080, 16720, 6400, 83680]",low
132,"['Approach', 'None', 'Approach', 'Approach', 'None']","[4480, 6480, 2800, 2240, 13200]",low
133,"['Approach', 'None']","[4720, 6080]",high
134,"['Approach', 'None']","[6880, 9040]",high
135,"['Approach', 'None']","[5200, 31760]",high
136,"['Approach', 'None']","[10240, 10720]",high
137,"['Approach', 'None']","[6320, 41280]",high
138,"['Approach', 'None']","[12720, 37600]",high
139,"['Approach', 'None']","[17200, 59760]",high
140,"['Approach', 'None']","[8960, 3040]",high
141,"['Approach', 'None']","[7360, 2880]",high
142,"['Approach', 'Avoid']","[2160, 17200]",low
143,"['Approach', 'None']","[9360, 149920]",high
144,"['Approach', 'Touch', 'Approach', 'None', 'Approach', 'None']","[6240, 30080, 2800, 10880, 4320, 13040]",low
145,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[34160, 2960, 4800, 20560, 3600, 3440, 8800, 10880]",low
146,"['Approach', 'Follow', 'None']","[5680, 13600, 17680]",low
147,"['Approach', 'None', 'Touch']","[3920, 73200, 29920]",high
148,"['Approach', 'None', 'Approach', 'Touch']","[7280, 20080, 4320, 32560]",high
149,"['Approach', 'Touch', 'Gesture', 'Touch']","[7120, 27680, 16000, 33840]",low
150,"['Approach', 'None']","[5200, 38880]",high
151,"['Approach', 'None']","[5280, 15840]",high
152,"['Approach', 'Gesture']","[9600, 9920]",low
153,"['Approach', 'Gesture', 'Touch']","[5360, 18080, 4160]",low
154,"['Approach', 'Gesture']","[5200, 3200]",low
155,"['Approach', 'None']","[15520, 640]",high
156,"['Approach', 'Gesture']","[11200, 26560]",low
157,"['Approach', 'Touch', 'Approach', 'Touch', 'Approach', 'Avoid']","[7760, 44080, 3840, 55840, 2880, 5200]",low
158,"['Approach', 'None']","[6800, 2240]",high
159,"['Approach', 'None']","[9280, 29280]",high
160,"['Approach', 'None', 'Approach']","[9520, 5520, 2160]",high
161,"['Approach', 'Touch']","[7920, 18080]",low
162,"['Approach', 'Gesture', 'Touch', 'Gesture', 'Avoid']","[4720, 6960, 12880, 27360, 6640]",low
163,"['Approach', 'None']","[8960, 32480]",high
164,"['Approach', 'Touch', 'Approach', 'None']","[5280, 71840, 6800, 3440]",low
165,"['Approach', 'None']","[7760, 3440]",high
166,"['Approach', 'None']","[7840, 9440]",high
167,"['Approach', 'None']","[6240, 24000]",high
168,"['Approach', 'None', 'Avoid']","[6880, 3840, 7040]",low
169,"['Approach', 'Touch']","[12400, 2080]",low
170,"['Approach', 'Touch', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'Gesture', 'None']","[6160, 6560, 134880, 5680, 10240, 3200, 2800, 8720, 2160, 2320, 3360, 4800, 0]",low
171,"['Approach', 'Touch', 'None', 'Touch', 'None']","[11360, 6160, 1520, 3840, 9040]",low
172,"['Approach', 'None', 'Touch']","[5120, 14800, 13120]",high
173,"['Approach', 'Approach', 'Touch', 'None']","[2880, 5600, 44880, 9120]",low
174,"['Approach', 'Gesture']","[15360, 4160]",low
175,"['Approach', 'None']","[2800, 2720]",high
