,code,start,duration,A/C,M/F,appearance
46,"['Approach', 'Avoid', 'Follow', 'Avoid', 'Approach', 'None', 'Touch', 'None']","[2989600, 2993680, 2999920, 3010400, 3014960, 3027760, 3032960, 3040000]","[4080, 6240, 10480, 4560, 12800, 5200, 7120, 2080]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
47,"['Follow', 'None', 'Approach', 'None', 'Touch', 'None']","[11120, 16800, 25280, 33120, 34560, 40880]","[5680, 8480, 6000, 1440, 6320, 14960]",Adult,Male,"{'셔츠 위 조끼, 검정색 바지, 흰색 운동화'}"
48,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None']","[218000, 225760, 230960, 234400, 236320, 239360, 275720, 279560, 320240, 324880, 370800, 377600, 380960, 381200, 386960, 390160, 396960, 399760]","[7760, 5200, 3440, 1920, 3040, 35960, 3840, 40000, 4640, 45920, 6560, 3360, 13360, 5760, 3200, 6080, 1800, 25920]",Adult,Male,"{'셔츠 위 조끼, 검정색 바지, 흰색 운동화'}"
49,"['Approach', 'Avoid', 'None']","[479920, 492160, 495840]","[12240, 3680, 5120]",Adult,Male,"{'셔츠 위 조끼, 검정색 바지, 흰색 운동화'}"
50,"['Follow', 'Approach', 'None', 'Touch', 'None']","[11040, 21600, 29200, 30720, 41840]","[8640, 7600, 1520, 11120, 10480]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
51,"['Approach', 'None']","[90640, 97520]","[6880, 20640]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
52,"['Approach', 'None']","[120720, 124160]","[3520, 3040]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
53,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Gesture', 'None']","[213600, 216240, 227440, 232880, 235600, 241600, 244000, 247680, 253840, 254440, 256920]","[2320, 11200, 5440, 2720, 6000, 2400, 3680, 6120, 600, 2480, 47400]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
54,"['Approach', 'None', 'Approach', 'Touch']","[308560, 311600, 317200, 321360]","[3040, 5680, 4160, 2880]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
55,"['Approach', 'Touch']","[326640, 332960]","[6320, 2960]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
56,"['Approach', 'None', 'Touch']","[338320, 341520, 344400]","[3200, 2880, 4000]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
57,"['Approach', 'Touch']","[352000, 357680]","[5680, 2200]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
58,"['Approach', 'None', 'Approach', 'None']","[365040, 372960, 381120, 385360]","[7920, 8160, 4240, 6320]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
59,"['Approach', 'None', 'Touch', 'Approach', 'None', 'Touch', 'None', 'Approach']","[394080, 399120, 401680, 404320, 408000, 409760, 413200, 424800]","[5040, 2560, 3440, 3680, 1760, 3440, 11040, 2720]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
60,"['Approach', 'None', 'Approach', 'Touch']","[479120, 482560, 486080, 489200]","[3200, 3520, 3120, 4160]",Child,Female,"{'빨간 리본, 양갈래 머리, 무지개색 상의'}"
61,"['Approach', 'None']","[123560, 142360]","[18800, 1600]",Adult,Female,"{'갈색 후드, 흰색 바지, 배낭'}"
62,"['Approach', 'None']","[135920, 144960]","[9040, 5040]",Adult,Male,"{'검정색 마스크, 회색 상의, 검정색 바지'}"
63,"['Approach', 'Touch', 'None']","[130920, 137400, 140280]","[6540, 2880, 33120]",Child,Male,"{'하늘색 상의, 검은색 바지'}"
64,"['Approach', 'None', 'Touch', 'None']","[128040, 136120, 145720, 153880]","[8080, 9600, 8160, 18240]",Child,Male,"{'검은색 상의, 검은색 바지(흰 줄)'}"
65,"['Approach', 'None', 'Approach', 'Gesture', 'None']","[218000, 227040, 359520, 362560, 365600]","[8000, 131440, 3040, 3040, 26480]",Adult,Female,"{'회색 상의, 청바지, 흰색 운동화'}"
66,"['Approach', 'None']","[397200, 400160]","[2960, 30400]",Adult,Female,"{'회색 상의, 청바지, 흰색 운동화'}"
67,"['Approach', 'None']","[482800, 494320]","[11520, 7840]",Adult,Female,"{'회색 상의, 청바지, 흰색 운동화'}"
68,"['Approach', 'Touch']","[217120, 222240]","[5120, 9520]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
69,"['Approach', 'None']","[265360, 268640]","[3280, 79680]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
70,"['Approach', 'None', 'Gesture', 'Touch', 'None', 'Approach', 'None']","[353240, 361640, 386440, 388680, 393800, 422920, 426120]","[8400, 24800, 2240, 5120, 29120, 3200, 6880]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
71,"['Approach', 'Touch', 'Gesture', 'None', 'Follow']","[458520, 466360, 484120, 490120, 497480]","[7840, 17760, 6000, 6960, 17440]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
72,"['Approach', 'None']","[1026320, 1033680]","[7360, 7440]",Adult,Female,"{'회색 상의, 청바지, 흰색 운동화'}"
73,"['Approach', 'Touch', 'None', 'Touch', 'None']","[832360, 843880, 855400, 860280, 863080]","[11520, 12480, 4880, 2800, 16320]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
74,"['Approach', 'Touch', 'None']","[1004000, 1011520, 1025920]","[7520, 14400, 30960]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
75,"['Approach', 'None']","[1089040, 1096480]","[7440, 3360]",Child,Male,"{'검정색 후드(팔에 줄무늬), 검은 바지, 검정색 운동화'}"
76,"['Approach', 'Touch']","[971280, 978720]","[7440, 9200]",Adult,Female,"{'갈색 롱코트, 청바지'}"
77,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach']","[1036720, 1047280, 1057160, 1060480, 1064320, 1081600, 1085280, 1112640, 1150080, 1157160]","[10560, 10960, 3320, 3840, 17280, 3680, 27360, 38840, 7840, 3520]",Adult,Female,"{'갈색 롱코트, 청바지'}"
78,"['Approach', 'Touch', 'Avoid']","[1230880, 1237440, 1245520]","[6560, 8080, 7360]",Adult,Female,"{'갈색 롱코트, 청바지'}"
79,"['Approach', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']","[1263920, 1271760, 1278160, 1302720, 1311600, 1318400, 1331840, 1333440]","[7840, 6400, 24480, 8880, 6800, 13520, 1600, 10400]",Adult,Female,"{'갈색 롱코트, 청바지'}"
80,"['Approach', 'Gesture', 'None']","[881400, 884280, 886760]","[2880, 2880, 9360]",Adult,Male,"{'검정색 상의 안 회색 티, 검정색 바지, 흰색 운동화'}"
81,"['Approach', 'None', 'Gesture', 'None', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[1095600, 1112080, 1138320, 1140640, 1148000, 1161200, 1167200, 1169760, 1180000, 1185120, 1187920]","[16480, 26240, 2320, 7760, 13440, 6000, 2560, 9840, 4160, 2800, 6960]",Adult,Male,"{'검정색 상의 안 회색 티, 검정색 바지, 흰색 운동화'}"
82,"['Approach', 'None', 'Avoid']","[1230880, 1242240, 1248800]","[11360, 6720, 8000]",Adult,Male,"{'검정색 상의 안 회색 티, 검정색 바지, 흰색 운동화'}"
83,"['Approach', 'None']","[1386080, 1395600]","[9520, 38080]",Adult,Male,"{'검정색 상의 안 회색 티, 검정색 바지, 흰색 운동화'}"
84,"['Approach', 'None', 'Gesture', 'None', 'Gesture']","[884040, 887640, 890280, 897720, 900760]","[3600, 2640, 7440, 3040, 3240]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
85,"['Approach', 'None', 'Gesture', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Gesture', 'None', 'Gesture', 'None']","[1049280, 1059920, 1070720, 1078560, 1088640, 1093760, 1104840, 1108840, 1124120, 1128920, 1158520, 1161320, 1166520, 1174360, 1180680]","[10640, 10800, 7840, 10000, 5120, 11080, 4000, 15280, 4800, 29600, 2800, 5200, 7840, 6320, 12240]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
86,"['Approach', 'None', 'Avoid']","[1228880, 1239680, 1247760]","[10800, 8080, 7200]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
87,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Gesture']","[1265040, 1270720, 1273600, 1280880, 1334880, 1339280, 1369840, 1372240, 1375200]","[5680, 2880, 7280, 53920, 4400, 30480, 2400, 2960, 7760]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
88,"['Approach', 'None']","[1386080, 1394080]","[8000, 8320]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
89,"['Approach', 'Gesture', 'None']","[1453840, 1461200, 1468400]","[7360, 7200, 11200]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
